,CODMUNRES,Unnamed: 0,ano,homicidios,idade_media,negro_proporcao,codigo_mun_7,uf,pop_mun,pop_uf,tx_hom,tx_hom_pct
3129,420300,50510,2015,7,38.857142857142854,0.14285714285714285,4203006.0,42.0,77323.0,7001161.0,9.052933797188418,17.575757575757574
2400,330390,49781,2015,27,36.074074074074076,0.6666666666666666,3303906.0,33.0,298235.0,16718956.0,9.053263366137443,17.727272727272727
2688,353780,50069,2015,5,37.4,0.0,3537800.0,35.0,55092.0,45094866.0,9.075727873375445,17.87878787878788
2781,355220,50162,2015,60,34.13333333333333,0.3620689655172414,3552205.0,35.0,659871.0,45094866.0,9.092686297776384,18.03030303030303
2253,317010,49634,2015,30,30.23333333333333,0.5333333333333333,3170107.0,31.0,328272.0,21119536.0,9.138762977043427,18.181818181818183
3042,412240,50423,2015,6,27.5,0.3333333333333333,4122404.0,41.0,64726.0,11320892.0,9.269845193585267,18.333333333333332
83,130170,47464,2015,5,24.2,0.6,1301704.0,13.0,53383.0,4063614.0,9.366277653934773,18.484848484848484
2097,314610,49478,2015,7,29.0,0.8571428571428571,3146107.0,31.0,74659.0,21119536.0,9.375962710456877,18.636363636363637
676,230260,48057,2015,6,26.16666666666667,0.8333333333333334,2302602.0,23.0,62985.0,9020460.0,9.526077637532746,18.787878787878785
3442,431830,50823,2015,6,21.66666666666667,0.3333333333333333,4318309.0,43.0,62957.0,11322895.0,9.530314341534698,18.939393939393938
386,210170,47767,2015,6,26.0,0.8333333333333334,2101707.0,21.0,62458.0,7000229.0,9.606455538121617,19.090909090909093
2971,411460,50352,2015,5,30.2,0.4,4114609.0,41.0,51795.0,11320892.0,9.653441451877594,19.242424242424242
2762,354990,50143,2015,68,29.75,0.2857142857142857,3549904.0,35.0,703219.0,45094866.0,9.669818363838292,19.393939393939394
2085,314480,49466,2015,9,25.88888888888889,0.5555555555555556,3144805.0,31.0,92178.0,21119536.0,9.763718023823472,19.545454545454547
205,150510,47586,2015,5,38.4,1.0,1505106.0,15.0,50727.0,8366628.0,9.856683817296508,19.696969696969695
3434,431740,50815,2015,5,51.4,0.2,4317400.0,43.0,50658.0,11322895.0,9.870109360811718,19.848484848484848
2542,351630,49923,2015,17,37.8235294117647,0.4117647058823529,3516309.0,35.0,171602.0,45094866.0,9.90664444470344,20.0
