;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
54291;2302107;1996;4;22,75;
54292;2302206;1996;2;32,0;
54293;2302404;1996;1;24,0;
54294;2302602;1996;1;30,0;
54295;2302701;1996;2;30,5;
54296;2302800;1996;9;35,111111111111114;
54297;2302909;1996;1;28,0;
54298;2303105;1996;1;33,0;
54299;2303303;1996;1;32,0;
54300;2303402;1996;1;35,0;
54301;2303501;1996;6;31,5;
54302;2303709;1996;44;33,29545454545455;
54303;2303808;1996;3;44,333333333333336;
54304;2304004;1996;5;39,4;
54305;2304103;1996;9;34,55555555555556;
54306;2304202;1996;2;33,5;
54307;2304236;1996;3;31,0;
54308;2304285;1996;1;47,0;
54309;2304350;1996;1;14,0;
54310;2304400;1996;434;29,518433179723502;
54311;2304459;1996;2;54,5;
54312;2304657;1996;1;34,0;
54313;2304954;1996;1;38,0;
54314;2305100;1996;1;51,0;
54315;2305233;1996;4;37,5;
54316;2305266;1996;1;30,0;
54317;2305308;1996;1;38,0;
54318;2305357;1996;3;40,0;
54319;2305407;1996;3;29,0;
54320;2305506;1996;12;35,25;
54321;2305605;1996;4;54,0;
54322;2305704;1996;2;42,5;
54323;2305803;1996;2;25,0;
54324;2305902;1996;2;30,5;
54325;2306207;1996;1;14,0;
54326;2306256;1996;7;32,0;
54327;2306306;1996;4;31,0;
54328;2306405;1996;5;34,6;
54329;2306504;1996;2;60,5;
54330;2306553;1996;1;77,0;
54331;2306702;1996;2;38,0;
54332;2306900;1996;3;36,666666666666664;
54333;2307007;1996;3;38,333333333333336;
54334;2307106;1996;6;39,833333333333336;
54335;2307304;1996;22;29,181818181818183;
54336;2307403;1996;1;29,0;
54337;2307502;1996;1;55,0;
54338;2307601;1996;3;24,0;
54339;2307635;1996;1;30,0;
54340;2307650;1996;34;27,794117647058822;
54341;2307700;1996;19;31,31578947368421;
54342;2308005;1996;2;50,0;
54343;2308104;1996;1;24,0;
54344;2308302;1996;2;41,5;
54345;2308401;1996;1;44,0;
54346;2308500;1996;14;35,642857142857146;
54347;2308609;1996;1;34,0;
54348;2308708;1996;4;31,75;
54349;2308906;1996;1;18,0;
54350;2309201;1996;1;19,0;
54351;2309300;1996;1;26,0;
54352;2309409;1996;9;38,44444444444444;
54353;2309458;1996;1;65,0;
54354;2309508;1996;2;31,5;
54355;2309607;1996;4;32,75;
54356;2309706;1996;4;41,75;
54357;2309805;1996;1;43,0;
54358;2310001;1996;1;25,0;
54359;2310100;1996;2;41,0;
54360;2310209;1996;1;29,0;
54361;2310258;1996;2;55,5;
54362;2310308;1996;3;28,666666666666668;
54363;2310407;1996;1;62,0;
54364;2310704;1996;6;40,333333333333336;
54365;2310803;1996;3;26,666666666666668;
54366;2310852;1996;2;48,0;
54367;2310951;1996;1;30,0;
54368;2311108;1996;2;56,0;
54369;2311306;1996;8;34,25;
54370;2311405;1996;3;26,0;
54371;2311603;1996;1;34,0;
54372;2311801;1996;3;37,666666666666664;
54373;2311959;1996;1;33,0;
54374;2312007;1996;1;56,0;
54375;2312106;1996;1;17,0;
54376;2312205;1996;2;31,5;
54377;2312304;1996;3;29,0;
54378;2312403;1996;2;30,0;
54379;2312502;1996;1;65,0;
54380;2312601;1996;1;28,0;
54381;2312700;1996;5;29,4;
54382;2312809;1996;1;20,0;
