;remuneracao_media;numero_empregados;estado;ano
0;2.9604946524064015;2992;AP;2001
0;2.477061323618695;3294;AP;2002
0;2.4142554498004594;3257;AP;2003
0;2.336603606266655;3383;AP;2004
0;2.5639912143081136;3187;AP;2005
0;2.5567002356974458;4667;AP;2006
0;2.0902477102414663;4804;AP;2007
0;2.0647405166395094;4297;AP;2008
0;2.097967450911048;5653;AP;2009
0;2.0406346214263484;6366;AP;2010
0;2.0192556829611665;4971;AP;2011
0;2.012835088993826;5506;AP;2012
0;2.018468834688322;5904;AP;2013
0;2.5387525652301615;6822;AP;2014
0;2.6258815152378094;7022;AP;2015
0;;0;BA;1995
0;2.0476923076923077;13;BA;1996
0;1.4984879725085896;291;BA;1997
0;2.9068272234095076;6083;BA;1998
0;2.7779227733934273;21288;BA;1999
0;2.678921693982774;25809;BA;2000
0;2.7212842735581635;25384;BA;2001
0;2.7416051711131035;29162;BA;2002
0;2.40715629619685;29764;BA;2003
0;2.2723814307986676;28865;BA;2004
0;2.1124579361097187;29895;BA;2005
0;1.967240581944314;31137;BA;2006
0;1.8983228174831128;34868;BA;2007
0;1.7962286900102653;38069;BA;2008
0;1.7441495566409315;42178;BA;2009
0;1.7429197408248147;42288;BA;2010
0;1.7969966128072778;43694;BA;2011
0;1.8179098999546763;50677;BA;2012
0;1.8009763361892817;49020;BA;2013
0;1.9899413925460963;48458;BA;2014
0;1.9907989160119095;47602;BA;2015
0;;0;CE;1995
0;2.390547263681594;201;CE;1996
0;3.0698151815181576;1515;CE;1997
0;3.2132228298017744;5852;CE;1998
0;3.2272985571587083;9010;CE;1999
0;3.014390878800498;9604;CE;2000
0;2.883590088574927;8919;CE;2001
0;2.941102948014535;10753;CE;2002
0;2.3776778726432597;11244;CE;2003
0;2.2705962011959637;11372;CE;2004
0;2.110397039549762;12971;CE;2005
0;1.9097695779554804;12629;CE;2006
0;1.8234419655876661;13716;CE;2007
0;1.7581811851101594;15796;CE;2008
0;1.6998314247514834;17203;CE;2009
0;1.6104053789730974;20450;CE;2010
0;1.7153625624716229;22010;CE;2011
0;1.6613994642115526;26503;CE;2012
0;1.8389643145605028;27238;CE;2013
0;1.9913821904890112;29692;CE;2014
0;2.053724167623384;27872;CE;2015
0;;0;DF;1995
0;6.055;2;DF;1996
0;6.482211538461532;208;DF;1997
0;4.5603596812405565;4643;DF;1998
0;4.99681747673211;11604;DF;1999
0;4.460784124494772;16579;DF;2000
0;4.058635758522949;17277;DF;2001
0;3.89713184562306;18552;DF;2002
0;3.9872137249201143;17195;DF;2003
0;3.9617929525566016;17368;DF;2004
0;3.9319189218682986;18328;DF;2005
0;3.3487130065975577;21220;DF;2006
0;3.167273071462526;21130;DF;2007
0;2.991957231363655;15011;DF;2008
0;3.0123446862188867;25368;DF;2009
0;2.9934261440431866;25895;DF;2010
0;2.8829038611742397;29447;DF;2011
0;2.9776422440332064;27611;DF;2012
0;3.188431240983785;29807;DF;2013
0;3.342446912259844;31787;DF;2014
0;3.403322106354024;30878;DF;2015
0;;0;ES;1995
0;3.22282312925171;1176;ES;1996
0;4.2591017964071805;334;ES;1997
0;3.454077485776194;3691;ES;1998
0;3.3445706274097335;5706;ES;1999
0;3.151126093294437;5488;ES;2000
0;4.471863583815013;8650;ES;2001
0;2.9994125913434435;7116;ES;2002
0;2.7218764186634425;7930;ES;2003
0;2.611395102300589;9433;ES;2004
0;2.502655477855512;10725;ES;2005
0;2.1905841607019534;12993;ES;2006
0;2.044890090090112;13875;ES;2007
0;2.112007983003915;15533;ES;2008
0;2.0202090903675467;16787;ES;2009
0;2.2342436951903806;18359;ES;2010
0;2.2895497946337855;18747;ES;2011
0;2.235786157329902;20314;ES;2012
0;2.3070539111528428;20237;ES;2013
0;2.4215708731743333;19034;ES;2014
0;2.4087553932957353;18078;ES;2015
0;;0;GO;1995
0;10.115384615384615;13;GO;1996
0;3.743410404624272;173;GO;1997
0;3.488851515822095;4519;GO;1998
0;3.3472220069740355;7743;GO;1999
0;3.040940777624806;9439;GO;2000
0;3.0652060688405913;8832;GO;2001
0;3.0119437543475733;10063;GO;2002
0;2.6573751018983494;8587;GO;2003
0;2.558568398727563;9430;GO;2004
0;2.89623103748908;11470;GO;2005
0;2.2665569663989196;11577;GO;2006
0;2.136149577604793;12074;GO;2007
0;2.0570094959824483;13690;GO;2008
0;1.9503966702402926;15857;GO;2009
0;1.869122778322965;18342;GO;2010
0;1.938080954609268;21370;GO;2011
0;1.8372825953887095;24505;GO;2012
0;1.9693063970250237;23933;GO;2013
0;2.1978919955148535;27647;GO;2014
0;2.1828337662337365;26950;GO;2015
0;;0;MA;1995
0;4.712;10;MA;1996
0;4.50723404255319;47;MA;1997
0;2.7329409594095915;2710;MA;1998
0;2.6322740404457328;4846;MA;1999
0;2.697155109489038;5480;MA;2000
0;2.469787268593687;6158;MA;2001
0;2.3121680697090374;6771;MA;2002
0;2.3159664654594208;7455;MA;2003
0;2.1629540654699824;7576;MA;2004
0;2.065732419395878;7878;MA;2005
0;1.9002873821284596;8908;MA;2006
0;1.8265126303127355;9976;MA;2007
0;1.6951511647116957;12106;MA;2008
0;1.59121483657728;13615;MA;2009
0;1.6325346572957569;15509;MA;2010
0;1.6981363310740258;18147;MA;2011
0;1.6459086803813678;19930;MA;2012
0;1.8628226563967978;21292;MA;2013
0;1.9305106192933585;20152;MA;2014
0;1.9136319575531697;19601;MA;2015
0;3.135;2;MG;1995
0;4.5670059880239515;1169;MG;1996
0;4.580059837242709;4178;MG;1997
0;4.349811587376347;10615;MG;1998
0;4.31553118378096;17461;MG;1999
0;4.05951337834467;19995;MG;2000
0;3.926142584341051;23565;MG;2001
0;3.479664300279378;26482;MG;2002
0;3.4521860646166225;25690;MG;2003
0;3.413106947090155;25723;MG;2004
0;3.1936548506849634;30439;MG;2005
0;2.9279314884239738;34943;MG;2006
0;2.6635880185361933;35822;MG;2007
0;2.508839201005054;38999;MG;2008
0;2.366338463070925;40158;MG;2009
0;2.2596350084360854;46823;MG;2010
0;2.32975367732901;51396;MG;2011
0;2.2359931751590323;55972;MG;2012
0;2.4927528451792744;55884;MG;2013
0;2.546443301664765;57365;MG;2014
0;2.492838183592032;54327;MG;2015
0;3.4633605600933515;3428;MS;1995
0;2.8530555555555552;36;MS;1996
0;2.892467532467529;462;MS;1997
0;3.2267507418397545;2022;MS;1998
0;2.988499061913694;2132;MS;1999
0;2.6502450811184093;2897;MS;2000
0;2.7849694002448073;4085;MS;2001
0;2.6244012772751506;3758;MS;2002
0;2.400925513486793;4041;MS;2003
0;2.2441551493535785;4486;MS;2004
0;2.145193482688396;4910;MS;2005
0;2.037951070336391;4905;MS;2006
0;1.9536236538824767;5293;MS;2007
0;1.9646177823957076;6737;MS;2008
0;1.9901394169835274;7890;MS;2009
0;1.8052482973893316;7048;MS;2010
0;1.8695896116623825;8163;MS;2011
0;1.780067174205098;8932;MS;2012
0;1.9165364528932516;9574;MS;2013
0;2.0541023469634716;8266;MS;2014
0;2.0971466577984863;9021;MS;2015
0;2.7662420188507135;3289;MT;1995
0;2.64;3;MT;1996
0;3.1051851851851855;81;MT;1997
0;2.709183577159045;2119;MT;1998
0;2.7903738839285777;3584;MT;1999
0;2.8315611664295885;2812;MT;2000
0;2.7616509751176848;2974;MT;2001
0;2.951856738925542;3183;MT;2002
0;2.4361595318755866;3247;MT;2003
0;2.3484983766233953;3696;MT;2004
0;2.208152173913045;4600;MT;2005
0;1.857801335559265;5990;MT;2006
0;1.9403041710585744;6641;MT;2007
0;1.8917724028548746;7566;MT;2008
0;1.961929705654526;10328;MT;2009
0;1.770573859917099;9166;MT;2010
0;1.7978728813559284;10620;MT;2011
0;1.8208922966549974;11151;MT;2012
0;1.8385688729874816;11739;MT;2013
0;2.0856709424687083;13019;MT;2014
0;2.0405982013810844;12454;MT;2015
0;;0;PA;1995
0;;0;PA;1996
0;3.7140733197555997;491;PA;1997
0;3.3408444854637946;4334;PA;1998
0;3.3998994659126986;9549;PA;1999
0;3.3683492946143603;9711;PA;2000
