;UF;ano;homicidios;idade_media;negro_proporcao
159;51;2004;849;32,8339222614841;0,6765755053507729
160;52;2004;1482;30,88191632928475;0,6505576208178439
161;53;2004;685;28,016058394160584;0,841642228739003
162;11;2005;526;32,98479087452471;0,7162426614481409
163;12;2005;123;31,341463414634145;0,7435897435897436
164;13;2005;597;29,42713567839196;0,8734835355285961
165;14;2005;91;33,637362637362635;0,7865168539325843
166;15;2005;1892;30,18816067653277;0,9046858359957402
167;16;2005;196;28,122448979591837;0,8865979381443299
168;17;2005;188;34,5531914893617;0,7872340425531915
169;21;2005;925;31,14918918918919;0,8484513274336283
170;22;2005;367;31,122615803814714;0,8521739130434782
171;23;2005;1488;31,049059139784948;0,8324205914567361
172;24;2005;405;31,217283950617283;0,7879656160458453
173;25;2005;732;30,631147540983605;0,9276923076923077
174;26;2005;4309;29,181480621954048;0,8868927125506073
175;27;2005;1200;29,8025;0,9227272727272727
176;28;2005;481;32,00415800415801;0,8260869565217391
177;29;2005;2365;29,448202959830866;0,9374117647058824
178;31;2005;4203;30,0252200808946;0,7162872154115587
179;32;2005;1589;29,97923222152297;0,8068910256410257
180;33;2005;6660;29,688588588588587;0,6497391837987112
181;35;2005;8539;30,760979037358005;0,4212690951821387
182;41;2005;2894;30,12543192812716;0,21702427013717904
183;42;2005;626;31,876996805111823;0,16489361702127658
184;43;2005;2013;32,177844013909585;0,2022977022977023
185;50;2005;617;32,75526742301459;0,5647840531561462
186;51;2005;877;33,05359179019384;0,698961937716263
187;52;2005;1431;29,857442348008387;0,7106598984771574
188;53;2005;639;28,311424100156493;0,8501577287066246
189;11;2006;541;33,32162661737523;0,7380497131931166
190;12;2006;134;32,71641791044776;0,7073170731707317
191;13;2006;649;28,859784283513097;0,8666666666666667
192;14;2006;93;34,41935483870968;0,6521739130434783
193;15;2006;1849;29,930232558139537;0,9245179063360881
194;16;2006;175;27,874285714285715;0,9190751445086706
195;17;2006;189;30,354497354497354;0,8404255319148937
196;21;2006;868;31,367511520737327;0,8522860492379836
197;22;2006;398;31,56281407035176;0,875968992248062
198;23;2006;1631;31,45003065603924;0,8597678916827853
199;24;2006;299;33,31772575250836;0,793233082706767
200;25;2006;779;30,549422336328625;0,942090395480226
201;26;2006;4280;29,512383177570094;0,912353515625
202;27;2006;1598;29,74468085106383;0,9406554472984943
203;28;2006;555;30,526126126126126;0,8244111349036403
204;29;2006;2983;30,01072745558163;0,9335001787629603
205;31;2006;3821;29,641978539649305;0,6962680468537183
206;32;2006;1667;30,33473305338932;0,806949806949807
207;33;2006;6386;29,865173817726276;0,6475855452510393
208;35;2006;7279;31,163758758071165;0,4087672762808879
209;41;2006;2886;30,17740817740818;0,17246224095539164
210;42;2006;624;32,49038461538461;0,1592920353982301
211;43;2006;1956;32,80112474437628;0,19391438886023724
212;50;2006;647;33,20401854714065;0,5573248407643312
213;51;2006;854;32,38407494145199;0,7373380447585395
214;52;2006;1397;30,825340014316392;0,7451851851851852
215;53;2006;637;29,12087912087912;0,8803149606299212
216;11;2007;382;32,31413612565445;0,7520661157024794
217;12;2007;109;30,34862385321101;0,77
218;13;2007;697;29,010043041606888;0,9392592592592592
219;14;2007;96;34,208333333333336;0,8297872340425532
220;15;2007;2005;29,566084788029926;0,9073791348600508
221;16;2007;161;27,732919254658384;0,8733333333333333
222;17;2007;199;34,15577889447236;0,8787878787878788
223;21;2007;1019;31,121687929342492;0,8588351431391905
224;22;2007;370;32,38108108108108;0,8403361344537815
225;23;2007;1823;30,816785518376303;0,8640646029609691
226;24;2007;561;30,729055258467024;0,8104838709677419
227;25;2007;816;30,590686274509803;0,9511228533685601
228;26;2007;4431;29,0;0,9375595805529076
229;27;2007;1816;29,073237885462554;0,9427043544690603
230;28;2007;515;30,679611650485437;0,8337129840546698
231;29;2007;3392;29,80188679245283;0,9223544145272385
232;31;2007;3899;30,05411644011285;0,7125636217519421
233;32;2007;1783;30,48008973639933;0,8111587982832618
234;33;2007;5665;29,557458075904677;0,6594320853680593
235;35;2007;5550;31,856396396396395;0,41234658362337423
236;41;2007;2971;29,902053180747224;0,20516351118760756
237;42;2007;595;31,640336134453783;0,15817223198594024
238;43;2007;2145;31,59020979020979;0,20150305307656177
239;50;2007;662;32,046827794561935;0,539906103286385
240;51;2007;851;34,11398354876616;0,7011764705882353
241;52;2007;1398;30,28755364806867;0,7263868065967016
242;53;2007;672;28,608630952380953;0,8477611940298507
243;11;2008;430;33,92790697674418;0,7107843137254902
244;12;2008;112;30,133928571428573;0,7682926829268293
245;13;2008;811;29,500616522811345;0,9433962264150944
246;14;2008;87;33,94252873563219;0,8117647058823529
247;15;2008;2567;29,830541488118428;0,9258818866428854
248;16;2008;188;28,617021276595743;0,9725274725274725
249;17;2008;212;31,933962264150942;0,8246445497630331
250;21;2008;1146;31,138743455497384;0,8843416370106761
251;22;2008;343;31,88338192419825;0,8516320474777448
252;23;2008;1918;30,543795620437955;0,8776059179556154
253;24;2008;677;29,86410635155096;0,8496
254;25;2008;980;30,387755102040817;0,9497863247863247
255;26;2008;4297;29,15662089830114;0,8993063860320497
256;27;2008;1873;29,258942872397224;0,9645793801391525
257;28;2008;546;30,858974358974358;0,8486140724946695
258;29;2008;4498;28,698755002223212;0,9229691876750701
259;31;2008;3695;30,184303112313938;0,7105709440361786
260;32;2008;1869;30,0;0,8241758241758241
261;33;2008;4829;29,948229447090494;0,6582359192348566
262;35;2008;5379;32,34281464956312;0,3958254269449715
263;41;2008;3267;29,872359963269055;0,20651833281103102
264;42;2008;749;31,890520694259013;0,13741496598639455
265;43;2008;2324;31,85499139414802;0,20113686051595978
266;50;2008;680;31,973529411764705;0,5395136778115501
267;51;2008;893;32,99888017917133;0,7420814479638009
268;52;2008;1634;30,395960832313342;0,7542640555906507
269;53;2008;772;28,269430051813472;0,8688311688311688
270;11;2009;513;33,09356725146199;0,719758064516129
271;12;2009;135;32,19259259259259;0,8737864077669902
272;13;2009;884;29,65497737556561;0,9557625145518044
273;14;2009;91;31,24175824175824;0,7613636363636364
274;15;2009;2712;29,464601769911503;0,9284644194756554
275;16;2009;171;29,502923976608187;0,93125
276;17;2009;263;32,80608365019011;0,8038461538461539
277;21;2009;1269;30,76674546887313;0,8865647626709574
278;22;2009;364;32,03846153846154;0,8526912181303116
279;23;2009;2028;30,44674556213018;0,8793935217091661
280;24;2009;774;29,868217054263567;0,8291666666666667
281;25;2009;1178;29,960101867572156;0,9598930481283422
282;26;2009;3808;29,550420168067227;0,9049945711183496
283;27;2009;1854;29,684466019417474;0,9705159705159705
284;28;2009;648;31,873456790123456;0,8660550458715597
285;29;2009;5046;28,302615933412604;0,9347600249324746
286;31;2009;3529;30,311986398413147;0,711064965885494
287;32;2009;1883;29,57514604354753;0,844299674267101
288;33;2009;4611;30,761006289308177;0,6612290502793297
289;35;2009;5473;33,22839393385712;0,4075037147102526
290;41;2009;3465;30,235786435786437;0,18547681539807523
291;42;2009;773;31,165588615782664;0,14701986754966886
292;43;2009;2185;32,40961098398169;0,20138568129330253
293;50;2009;719;32,02364394993046;0,5557122708039492
294;51;2009;940;32,59574468085106;0,7467672413793104
295;52;2009;1696;31,131485849056602;0,7708959711365003
296;53;2009;826;28,537530266343826;0,8613138686131386
297;11;2010;512;34,041015625;0,7329317269076305
298;12;2010;140;31,928571428571427;0,803921568627451
299;13;2010;1048;29,72519083969466;0,9300291545189504
300;14;2010;94;31,382978723404257;0,8876404494382022
301;15;2010;3173;30,08919004097069;0,9226837060702875
302;16;2010;232;27,93103448275862;0,8695652173913043
303;17;2010;302;32,05298013245033;0,875
304;21;2010;1424;31,0;0,899856938483548
305;22;2010;361;33,34626038781163;0,8584070796460177
306;23;2010;2455;30,378818737270876;0,8514316585629389
307;24;2010;774;30,627906976744185;0,8507042253521127
308;25;2010;1352;28,974112426035504;0,9650892164468581
309;26;2010;3338;29,856201318154582;0,9204726924305334
310;27;2010;2064;28,772286821705425;0,9721739130434782
311;28;2010;666;31,93993993993994;0,9077669902912622
312;29;2010;5415;28,614404432132964;0,932242540904716
313;31;2010;3475;30,506187050359713;0,7340393343419062
314;32;2010;1697;29,705951679434296;0,8355795148247979
315;33;2010;4763;30,587654839386943;0,6699698405859543
316;35;2010;4913;33,12945247303073;0,41982135261590814
317;41;2010;3390;30,165486725663715;0,18699671935580078
318;42;2010;779;32,65982028241335;0,1618421052631579
319;43;2010;2034;32,43166175024582;0,21180555555555555
320;50;2010;636;33,240566037735846;0,5798722044728435
321;51;2010;920;32,36413043478261;0,7551912568306011
322;52;2010;1793;29,869492470719464;0,7942857142857143
323;53;2010;722;28,729916897506925;0,8720445062586927
0;11;2011;408;34,0514705882353;0,7406483790523691
1;12;2011;123;33,016260162601625;0,8588235294117647
2;13;2011;1269;28,393223010244288;0,8877388535031847
3;14;2011;74;33,810810810810814;0,8591549295774648
4;15;2011;2847;29,52616789603091;0,9184397163120568
5;16;2011;181;28,03867403314917;0,8491620111731844
6;17;2011;332;33,243975903614455;0,8297213622291022
7;21;2011;1493;32,21567314132619;0,8700680272108844
8;22;2011;407;31,83046683046683;0,8657894736842106
9;23;2011;2632;30,096504559270517;0,8571428571428571
10;24;2011;997;29,67001003009027;0,8459016393442623
11;25;2011;1551;29,75177304964539;0,9495912806539509
12;26;2011;3306;30,42105263157895;0,931302657161374
13;27;2011;2218;29,25247971145176;0,9646489104116223
14;28;2011;726;31,00413223140496;0,9212707182320442
15;29;2011;5121;29,249755907049405;0,9202942979767014
16;31;2011;4073;30,877976921188313;0,7071627436092128
17;32;2011;1597;29,182842830306825;0,8381294964028777
18;33;2011;4171;31,320067130184608;0,6765571358509073
19;35;2011;4811;33,58158387029724;0,4314438502673797
20;41;2011;3121;30,734700416533162;0,19662008449788757
21;42;2011;768;32,317708333333336;0,16120576671035386
22;43;2011;2026;32,69200394866733;0,21819085487077536
23;50;2011;663;33,62443438914027;0,621580547112462
24;51;2011;929;32,92465016146394;0,7379912663755459
25;52;2011;2100;30,36285714285714;0,7837037037037037
26;53;2011;825;28,71151515151515;0,8707317073170732
324;11;2012;493;33,411764705882355;0,7338877338877339
325;12;2012;175;31,24;0,8924050632911392
326;13;2012;1277;30,391542678151918;0,916403785488959
327;14;2012;110;31,3;0,8425925925925926
328;15;2012;2945;29,535823429541598;0,9222069910897875
329;16;2012;207;27,468599033816425;0,900523560209424
330;17;2012;361;32,99722991689751;0,836676217765043
331;21;2012;1676;30,892601431980907;0,8931390406800243
332;22;2012;500;31,778;0,9006211180124224
333;23;2012;3703;28,731028895490144;0,8875482625482626
334;24;2012;1072;29,45988805970149;0,8217131474103586
335;25;2012;1460;29,208904109589042;0,9425981873111783
336;26;2012;3186;30,126804770872567;0,94293210888816
337;27;2012;1992;29,154116465863453;0,9561855670103093
338;28;2012;875;30,416;0,9172413793103448
339;29;2012;5614;28,82793017456359;0,9250139899272524
340;31;2012;4383;29,99817476614191;0,7216518898740084
341;32;2012;1598;29,42866082603254;0,8722826086956522
342;33;2012;4099;31,04220541595511;0,6961615154536391
343;35;2012;5478;33,19477911646587;0,4473782075120863
344;41;2012;3276;30,431623931623932;0,21942892613283674
345;42;2012;771;32,076523994811936;0,2125984251968504
346;43;2012;2338;32,3464499572284;0,21936327954644572
