uf,codigo_ibge,nome_mun,valor
AM,1303908,SAO PAULO DE OLIVENCA,40136443.0
AM,1303957,SAO SEBASTIAO DO UATUMA,16240015.0
AM,1304005,SILVES,17012167.0
AM,1304062,TABATINGA,94807712.0
AM,1304104,TAPAUA,28444886.0
AM,1304203,TEFE,116162952.0
AM,1304237,TONANTINS,26370797.0
AM,1304260,UARINI,19909449.0
AM,1304302,URUCARA,27515642.0
AM,1304401,URUCURITUBA,27957706.0
AP,1600055,SERRA DO NAVIO,9169977.0
AP,1600105,AMAPA,42315245.0
AP,1600154,PEDRA BRANCA DO AMAPARI,21522014.0
AP,1600204,CALCOENE,20396270.0
AP,1600212,CUTIAS,9463784.0
AP,1600238,FERREIRA GOMES,13734296.0
AP,1600253,ITAUBAL,12445435.0
AP,1600279,LARANJAL DO JARI,82855298.0
AP,1600303,MACAPA,821074599.0
AP,1600402,MAZAGAO,42282639.0
AP,1600501,OIAPOQUE,56374385.0
AP,1600535,PORTO GRANDE,36193521.0
AP,1600550,PRACUUBA,7542225.0
AP,1600600,SANTANA,224829654.0
AP,1600709,TARTARUGALZINHO,21370804.0
AP,1600808,VITORIA DO JARI,25424343.0
BA,2900108,ABAIRA,14398998.0
BA,2900207,ABARE,34037788.0
BA,2900306,ACAJUTIBA,30194522.0
BA,2900355,ADUSTINA,28115673.0
BA,2900405,AGUA FRIA,27834484.0
BA,2900504,ERICO CARDOSO,14066310.0
BA,2900603,AIQUARA,7421161.0
BA,2900702,ALAGOINHAS,275036081.0
BA,2900801,ALCOBACA,43409067.0
BA,2900900,ALMADINA,10284526.0
BA,2901007,AMARGOSA,62812170.0
BA,2901106,AMELIA RODRIGUES,43737827.0
BA,2901155,AMERICA DOURADA,28287973.0
BA,2901205,ANAGE,40395472.0
BA,2901304,ANDARAI,24765033.0
BA,2901353,ANDORINHA,26516148.0
BA,2901403,ANGICAL,24374891.0
BA,2901502,ANGUERA,16596975.0
BA,2901601,ANTAS,21602612.0
BA,2901700,ANTONIO CARDOSO,21589391.0
BA,2901809,ANTONIO GONCALVES,18522810.0
BA,2901908,APORA,30415396.0
BA,2901957,APUAREMA,13573630.0
BA,2902005,ARACATU,23304376.0
BA,2902054,ARACAS,22692434.0
BA,2902104,ARACI,94809898.0
BA,2902203,ARAMARI,19207574.0
BA,2902252,ARATACA,15472460.0
BA,2902302,ARATUIPE,17806368.0
BA,2902401,AURELINO LEAL,24254271.0
BA,2902500,BAIANOPOLIS,23026025.0
BA,2902609,BAIXA GRANDE,34117866.0
BA,2902658,BANZAE,19866067.0
BA,2902708,BARRA,88765847.0
BA,2902807,BARRA DA ESTIVA,44409045.0
BA,2902906,BARRA DO CHOCA,64189690.0
BA,2903003,BARRA DO MENDES,25048107.0
BA,2903102,BARRA DO ROCHA,9315644.0
BA,2903201,BARREIRAS,238131998.0
BA,2903235,BARRO ALTO,24722513.0
BA,2903276,BARROCAS,27675596.0
BA,2903300,BARRO PRETO,11948424.0
BA,2903409,BELMONTE,37253135.0
BA,2903508,BELO CAMPO,32652495.0
BA,2903607,BIRITINGA,31072569.0
BA,2903706,BOA NOVA,27424669.0
BA,2903805,BOA VISTA DO TUPIM,31512179.0
BA,2903904,BOM JESUS DA LAPA,115041336.0
BA,2903953,BOM JESUS DA SERRA,16762256.0
BA,2904001,BONINAL,23394596.0
BA,2904050,BONITO,30679193.0
BA,2904100,BOQUIRA,31152113.0
BA,2904209,BOTUPORA,18708473.0
BA,2904308,BREJOES,22977990.0
BA,2904407,BREJOLANDIA,15117834.0
BA,2904506,BROTAS DE MACAUBAS,18592491.0
BA,2904605,BRUMADO,108457853.0
BA,2904704,BUERAREMA,29299367.0
BA,2904753,BURITIRAMA,35977432.0
BA,2904803,CAATIBA,10783699.0
BA,2904852,CABACEIRAS DO PARAGUACU,29587870.0
BA,2904902,CACHOEIRA,63494050.0
BA,2905008,CACULE,35059088.0
BA,2905107,CAEM,18874446.0
BA,2905156,CAETANOS,20786700.0
BA,2905206,CAETITE,84967373.0
BA,2905305,CAFARNAUM,34082664.0
BA,2905404,CAIRU,34210715.0
BA,2905503,CALDEIRAO GRANDE,23846440.0
BA,2905602,CAMACAN,41549453.0
BA,2905701,CAMACARI,507044193.0
BA,2905800,CAMAMU,64653539.0
BA,2905909,CAMPO ALEGRE DE LOURDES,48525088.0
BA,2906006,CAMPO FORMOSO,129258210.0
BA,2906105,CANAPOLIS,15245937.0
BA,2906204,CANARANA,45133285.0
BA,2906303,CANAVIEIRAS,61716102.0
BA,2906402,CANDEAL,15912280.0
BA,2906501,CANDEIAS,152154763.0
BA,2906600,CANDIBA,22124117.0
BA,2906709,CANDIDO SALES,49641623.0
BA,2906808,CANSANCAO,64900730.0
BA,2906824,CANUDOS,30289516.0
BA,2906857,CAPELA DO ALTO ALEGRE,19498345.0
BA,2906873,CAPIM GROSSO,58778216.0
BA,2906899,CARAIBAS,16002071.0
BA,2906907,CARAVELAS,34946974.0
BA,2907004,CARDEAL DA SILVA,17223078.0
BA,2907103,CARINHANHA,54639393.0
BA,2907202,CASA NOVA,125368217.0
BA,2907301,CASTRO ALVES,47938062.0
BA,2907400,CATOLANDIA,5759539.0
BA,2907509,CATU,92103048.0
BA,2907558,CATURAMA,13897178.0
BA,2907608,CENTRAL,28751451.0
BA,2907707,CHORROCHO,18082086.0
BA,2907806,CICERO DANTAS,59371991.0
BA,2907905,CIPO,35332939.0
BA,2908002,COARACI,38549338.0
BA,2908101,COCOS,32783649.0
BA,2908200,CONCEICAO DA FEIRA,39110806.0
BA,2908309,CONCEICAO DO ALMEIDA,28181559.0
BA,2908408,CONCEICAO DO COITE,130414838.0
BA,2908507,CONCEICAO DO JACUIPE,58162047.0
BA,2908606,CONDE,48782257.0
BA,2908705,CONDEUBA,26780277.0
BA,2908804,CONTENDAS DO SINCORA,9061212.0
BA,2908903,CORACAO DE MARIA,49804607.0
BA,2909000,CORDEIROS,12835556.0
BA,2909109,CORIBE,25072813.0
BA,2909208,CORONEL JOAO SA,31739890.0
BA,2909307,CORRENTINA,51209545.0
BA,2909406,COTEGIPE,24218980.0
BA,2909505,CRAVOLANDIA,8675921.0
BA,2909604,CRISOPOLIS,37770662.0
BA,2909703,CRISTOPOLIS,22830574.0
BA,2909802,CRUZ DAS ALMAS,105443345.0
BA,2909901,CURACA,60808388.0
BA,2910008,DARIO MEIRA,19491989.0
BA,2910057,DIAS D'AVILA,135044600.0
BA,2910107,DOM BASILIO,19572064.0
BA,2910206,DOM MACEDO COSTA,7624201.0
BA,2910305,ELISIO MEDRADO,13432544.0
BA,2910404,ENCRUZILHADA,34765989.0
BA,2910503,ENTRE RIOS,74707011.0
BA,2910602,ESPLANADA,55552362.0
BA,2910701,EUCLIDES DA CUNHA,106424506.0
BA,2910727,EUNAPOLIS,186360466.0
BA,2910750,FATIMA,35741744.0
BA,2910776,FEIRA DA MATA,11615824.0
BA,2910800,FEIRA DE SANTANA,1023497873.0
BA,2910859,FILADELFIA,32687620.0
BA,2910909,FIRMINO ALVES,8956158.0
BA,2911006,FLORESTA AZUL,16341621.0
BA,2911105,FORMOSA DO RIO PRETO,42380757.0
BA,2911204,GANDU,57718303.0
BA,2911253,GAVIAO,9539998.0
BA,2911303,GENTIO DO OURO,17243499.0
BA,2911402,GLORIA,27666374.0
BA,2911501,GONGOGI,12197727.0
BA,2911600,GOVERNADOR MANGABEIRA,35101651.0
BA,2911659,GUAJERU,10902130.0
BA,2911709,GUANAMBI,145915298.0
BA,2911808,GUARATINGA,35440851.0
BA,2911857,HELIOPOLIS,22140452.0
BA,2911907,IACU,48871402.0
BA,2912004,IBIASSUCE,15724292.0
BA,2912103,IBICARAI,42041352.0
BA,2912202,IBICOARA,31795094.0
BA,2912301,IBICUI,25453030.0
BA,2912400,IBIPEBA,29416081.0
BA,2912509,IBIPITANGA,23117215.0
BA,2912608,IBIQUERA,6788442.0
BA,2912707,IBIRAPITANGA,38725077.0
BA,2912806,IBIRAPUA,15947336.0
BA,2912905,IBIRATAIA,35913442.0
BA,2913002,IBITIARA,23289828.0
BA,2913101,IBITITA,32921274.0
BA,2913200,IBOTIRAMA,47008310.0
BA,2913309,ICHU,10695754.0
BA,2913408,IGAPORA,25403861.0
BA,2913457,IGRAPIUNA,22691948.0
BA,2913507,IGUAI,38789212.0
BA,2913606,ILHEUS,323195596.0
BA,2913705,INHAMBUPE,64440120.0
BA,2913804,IPECAETA,22488062.0
BA,2913903,IPIAU,79710454.0
BA,2914000,IPIRA,104963165.0
BA,2914109,IPUPIARA,15509803.0
BA,2914208,IRAJUBA,10695651.0
BA,2914307,IRAMAIA,18308917.0
BA,2914406,IRAQUARA,42748334.0
BA,2914505,IRARA,53837788.0
BA,2914604,IRECE,126535329.0
BA,2914653,ITABELA,57978979.0
BA,2914703,ITABERABA,113749898.0
BA,2914802,ITABUNA,325701045.0
BA,2914901,ITACARE,47010329.0
BA,2915007,ITAETE,25885836.0
BA,2915106,ITAGI,23518292.0
BA,2915205,ITAGIBA,26028565.0
BA,2915304,ITAGIMIRIM,12874197.0
BA,2915353,ITAGUACU DA BAHIA,21897386.0
BA,2915403,ITAJU DO COLONIA,10385434.0
BA,2915502,ITAJUIPE,37168850.0
BA,2915601,ITAMARAJU,115998286.0
BA,2915700,ITAMARI,14705720.0
BA,2915809,ITAMBE,40645420.0
BA,2915908,ITANAGRA,13000257.0
BA,2916005,ITANHEM,36639731.0
BA,2916104,ITAPARICA,39320968.0
BA,2916203,ITAPE,17714563.0
BA,2916302,ITAPEBI,18637372.0
BA,2916401,ITAPETINGA,101050759.0
BA,2916500,ITAPICURU,61914546.0
BA,2916609,ITAPITANGA,12441833.0
BA,2916708,ITAQUARA,14292264.0
BA,2916807,ITARANTIM,29025512.0
BA,2916856,ITATIM,30379644.0
BA,2916906,ITIRUCU,20915820.0
BA,2917003,ITIUBA,61175864.0
BA,2917102,ITORORO,31246239.0
BA,2917201,ITUACU,32907502.0
BA,2917300,ITUBERA,45919014.0
BA,2917334,IUIU,18182693.0
BA,2917359,JABORANDI,16421073.0
BA,2917409,JACARACI,21451125.0
BA,2917508,JACOBINA,149262454.0
BA,2917607,JAGUAQUARA,85405176.0
BA,2917706,JAGUARARI,54691379.0
BA,2917805,JAGUARIPE,33838743.0
BA,2917904,JANDAIRA,18398416.0
BA,2918001,JEQUIE,265349819.0
BA,2918100,JEREMOABO,72242732.0
BA,2918209,JIQUIRICA,25572043.0
BA,2918308,JITAUNA,28060061.0
BA,2918357,JOAO DOURADO,43530209.0
BA,2918407,JUAZEIRO,399123927.0
BA,2918456,JUCURUCU,16167878.0
BA,2918506,JUSSARA,28866627.0
BA,2918555,JUSSARI,10220098.0
BA,2918605,JUSSIAPE,11965016.0
BA,2918704,LAFAIETE COUTINHO,6622464.0
BA,2918753,LAGOA REAL,19096563.0
BA,2918803,LAJE,42852188.0
BA,2918902,LAJEDAO,8820424.0
BA,2919009,LAJEDINHO,6509079.0
BA,2919058,LAJEDO DO TABOCAL,13896091.0
BA,2919108,LAMARAO,16681302.0
BA,2919157,LAPAO,48808507.0
BA,2919207,LAURO DE FREITAS,348114307.0
BA,2919306,LENCOIS,19540085.0
BA,2919405,LICINIO DE ALMEIDA,20177528.0
BA,2919504,LIVRAMENTO DE NOSSA SENHORA,73000915.0
BA,2919553,LUIS EDUARDO MAGALHAES,145181286.0
BA,2919603,MACAJUBA,19858127.0
BA,2919702,MACARANI,28415423.0
BA,2919801,MACAUBAS,66732853.0
BA,2919900,MACURURE,12595434.0
BA,2919926,MADRE DE DEUS,32429907.0
BA,2919959,MAETINGA,11762097.0
BA,2920007,MAIQUINIQUE,16009057.0
BA,2920106,MAIRI,31505214.0
BA,2920205,MALHADA,26815836.0
BA,2920304,MALHADA DE PEDRAS,13738462.0
BA,2920403,MANOEL VITORINO,27739631.0
BA,2920452,MANSIDAO,19032524.0
BA,2920502,MARACAS,44171402.0
BA,2920601,MARAGOGIPE,82087646.0
BA,2920700,MARAU,38652353.0
BA,2920809,MARCIONILIO SOUZA,18491051.0
BA,2920908,MASCOTE,22681443.0
BA,2921005,MATA DE SAO JOAO,91399703.0
BA,2921054,MATINA,19073201.0
BA,2921104,MEDEIROS NETO,40862748.0
BA,2921203,MIGUEL CALMON,44102375.0
BA,2921302,MILAGRES,20987778.0
BA,2921401,MIRANGABA,29358978.0
BA,2921450,MIRANTE,15557375.0
BA,2921500,MONTE SANTO,86315340.0
BA,2921609,MORPARA,15043333.0
BA,2921708,MORRO DO CHAPEU,58060863.0
BA,2921807,MORTUGABA,17383791.0
BA,2921906,MUCUGE,19885152.0
BA,2922003,MUCURI,62956448.0
BA,2922052,MULUNGU DO MORRO,24340438.0
BA,2922102,MUNDO NOVO,35608340.0
BA,2922201,MUNIZ FERREIRA,14889099.0
BA,2922250,MUQUEM DE SAO FRANCISCO,19697695.0
BA,2922300,MURITIBA,51734277.0
BA,2922409,MUTUIPE,37449646.0
BA,2922508,NAZARE,47221630.0
BA,2922607,NILO PECANHA,23418796.0
BA,2922656,NORDESTINA,20983275.0
BA,2922706,NOVA CANAA,27107732.0
BA,2922730,NOVA FATIMA,15646910.0
BA,2922755,NOVA IBIA,10475383.0
BA,2922805,NOVA ITARANA,15701522.0
BA,2922854,NOVA REDENCAO,13092511.0
BA,2922904,NOVA SOURE,45542794.0
BA,2923001,NOVA VICOSA,74975660.0
BA,2923035,NOVO HORIZONTE,20349616.0
BA,2923050,NOVO TRIUNFO,15845546.0
BA,2923100,OLINDINA,44052540.0
BA,2923209,OLIVEIRA DOS BREJINHOS,36624486.0
BA,2923308,OURICANGAS,15607797.0
BA,2923357,OUROLANDIA,35288812.0
BA,2923407,PALMAS DE MONTE ALTO,35809518.0
BA,2923506,PALMEIRAS,18647670.0
BA,2923605,PARAMIRIM,32682490.0
BA,2923704,PARATINGA,56941122.0
BA,2923803,PARIPIRANGA,47547916.0
BA,2923902,PAU BRASIL,20892589.0
BA,2924009,PAULO AFONSO,191608556.0
BA,2924058,PE DE SERRA,26016541.0
BA,2924108,PEDRAO,12501347.0
BA,2924207,PEDRO ALEXANDRE,22617292.0
BA,2924306,PIATA,29407148.0
BA,2924405,PILAO ARCADO,57445173.0
BA,2924504,PINDAI,22809656.0
BA,2924603,PINDOBACU,33328966.0
BA,2924652,PINTADAS,15581610.0
BA,2924678,PIRAI DO NORTE,15724607.0
BA,2924702,PIRIPA,16369432.0
BA,2924801,PIRITIBA,34474482.0
BA,2924900,PLANALTINO,12832199.0
BA,2925006,PLANALTO,43571235.0
BA,2925105,POCOES,86000008.0
BA,2925204,POJUCA,62134336.0
BA,2925253,PONTO NOVO,32547932.0
BA,2925303,PORTO SEGURO,279010083.0
BA,2925402,POTIRAGUA,19659563.0
BA,2925501,PRADO,55408316.0
BA,2925600,PRESIDENTE DUTRA,25578822.0
BA,2925709,PRESIDENTE JANIO QUADROS,19803582.0
BA,2925758,PRESIDENTE TANCREDO NEVES,55750957.0
BA,2925808,QUEIMADAS,45419650.0
BA,2925907,QUIJINGUE,49184333.0
BA,2925931,QUIXABEIRA,16415515.0
BA,2925956,RAFAEL JAMBEIRO,37150493.0
BA,2926004,REMANSO,76560544.0
BA,2926103,RETIROLANDIA,24895511.0
BA,2926202,RIACHAO DAS NEVES,40086611.0
BA,2926301,RIACHAO DO JACUIPE,62252622.0
BA,2926400,RIACHO DE SANTANA,50841465.0
BA,2926509,RIBEIRA DO AMPARO,27195500.0
BA,2926608,RIBEIRA DO POMBAL,100540542.0
BA,2926657,RIBEIRAO DO LARGO,14660222.0
BA,2926707,RIO DE CONTAS,21201206.0
BA,2926806,RIO DO ANTONIO,23052650.0
BA,2926905,RIO DO PIRES,16155308.0
BA,2927002,RIO REAL,72657706.0
BA,2927101,RODELAS,18244270.0
BA,2927200,RUY BARBOSA,51336890.0
BA,2927309,SALINAS DA MARGARIDA,29792125.0
BA,2927408,SALVADOR,4209810016.0
BA,2927507,SANTA BARBARA,41601375.0
BA,2927606,SANTA BRIGIDA,25493697.0
BA,2927705,SANTA CRUZ CABRALIA,53779708.0
BA,2927804,SANTA CRUZ DA VITORIA,9479444.0
BA,2927903,SANTA INES,20547003.0
BA,2928000,SANTALUZ,75220088.0
BA,2928059,SANTA LUZIA,20145679.0
BA,2928109,SANTA MARIA DA VITORIA,70085416.0
BA,2928208,SANTANA,44142395.0
BA,2928307,SANTANOPOLIS,16043909.0
BA,2928406,SANTA RITA DE CASSIA,50333274.0
BA,2928505,SANTA TERESINHA,17089224.0
BA,2928604,SANTO AMARO,115578066.0
BA,2928703,SANTO ANTONIO DE JESUS,171906074.0
BA,2928802,SANTO ESTEVAO,82091701.0
BA,2928901,SAO DESIDERIO,48447745.0
BA,2928950,SAO DOMINGOS,16737332.0
BA,2929008,SAO FELIX,19631253.0
BA,2929057,SAO FELIX DO CORIBE,27009387.0
BA,2929107,SAO FELIPE,37954457.0
BA,2929206,SAO FRANCISCO DO CONDE,73482794.0
BA,2929255,SAO GABRIEL,34526080.0
BA,2929305,SAO GONCALO DOS CAMPOS,54871681.0
BA,2929354,SAO JOSE DA VITORIA,11805464.0
BA,2929370,SAO JOSE DO JACUIPE,18896052.0
BA,2929404,SAO MIGUEL DAS MATAS,19031343.0
BA,2929503,SAO SEBASTIAO DO PASSE,76851690.0
BA,2929602,SAPEACU,33806342.0
BA,2929701,SATIRO DIAS,26977427.0
BA,2929750,SAUBARA,24561556.0
BA,2929800,SAUDE,19018770.0
BA,2929909,SEABRA,79776190.0
BA,2930006,SEBASTIAO LARANJEIRAS,15457602.0
BA,2930105,SENHOR DO BONFIM,132534127.0
BA,2930154,SERRA DO RAMALHO,52400795.0
BA,2930204,SENTO SE,65309278.0
BA,2930303,SERRA DOURADA,30640122.0
BA,2930402,SERRA PRETA,28912043.0
BA,2930501,SERRINHA,152187263.0
BA,2930600,SERROLANDIA,23277343.0
BA,2930709,SIMOES FILHO,221115204.0
