,uf,nome_mun,quant,codigo_ibge,valor
4651,SC,SANTO AMARO DA IMPERATRIZ,1.0,4215703,27604016.0
4652,SC,SAO BERNARDINO,1.0,4215752,2427851.0
4653,SC,SAO BENTO DO SUL,3.0,4215802,59549263.0
4654,SC,SAO BONIFACIO,1.0,4215901,2937058.0
4655,SC,SAO CARLOS,1.0,4216008,8063222.0
4656,SC,SAO CRISTOVAO DO SUL,1.0,4216057,5324239.0
4657,SC,SAO DOMINGOS,1.0,4216107,9752735.0
4658,SC,SAO FRANCISCO DO SUL,2.0,4216206,62224183.0
4659,SC,SAO JOAO DO OESTE,0.0,4216255,2287295.0
4660,SC,SAO JOAO BATISTA,1.0,4216305,34430557.0
4661,SC,SAO JOAO DO ITAPERIU,1.0,4216354,3935696.0
4662,SC,SAO JOAO DO SUL,1.0,4216404,10214692.0
4663,SC,SAO JOAQUIM,1.0,4216503,27202656.0
4664,SC,SAO JOSE,12.0,4216602,260084267.0
4665,SC,SAO JOSE DO CEDRO,1.0,4216701,11643222.0
4666,SC,SAO JOSE DO CERRITO,1.0,4216800,11315629.0
4667,SC,SAO LOURENCO DO OESTE,1.0,4216909,19581953.0
4668,SC,SAO LUDGERO,1.0,4217006,8724586.0
4669,SC,SAO MARTINHO,1.0,4217105,2708031.0
4670,SC,SAO MIGUEL DA BOA VISTA,1.0,4217154,1477979.0
4671,SC,SAO MIGUEL DO OESTE,3.0,4217204,28814333.0
4672,SC,SAO PEDRO DE ALCANTARA,1.0,4217253,3318650.0
4673,SC,SAUDADES,1.0,4217303,4816830.0
4674,SC,SCHROEDER,0.0,4217402,13953858.0
4675,SC,SEARA,1.0,4217501,10553065.0
4676,SC,SERRA ALTA,1.0,4217550,2115239.0
4677,SC,SIDEROPOLIS,1.0,4217600,11132118.0
4678,SC,SOMBRIO,2.0,4217709,37444910.0
4679,SC,SUL BRASIL,1.0,4217758,2604474.0
4680,SC,TAIO,1.0,4217808,14298213.0
4681,SC,TANGARA,1.0,4217907,5683599.0
4682,SC,TIGRINHOS,1.0,4217956,2010254.0
4683,SC,TIJUCAS,2.0,4218004,46409742.0
4684,SC,TIMBE DO SUL,1.0,4218103,5488603.0
4685,SC,TIMBO,3.0,4218202,27660313.0
4686,SC,TIMBO GRANDE,1.0,4218251,9521000.0
4687,SC,TRES BARRAS,1.0,4218301,20686632.0
4688,SC,TREVISO,1.0,4218350,2536377.0
4689,SC,TREZE DE MAIO,1.0,4218400,6701128.0
4690,SC,TREZE TILIAS,1.0,4218509,5514250.0
4691,SC,TROMBUDO CENTRAL,1.0,4218608,5481327.0
4692,SC,TUBARAO,6.0,4218707,94679116.0
4693,SC,TUNAPOLIS,1.0,4218756,2465986.0
4694,SC,TURVO,1.0,4218806,11048688.0
4695,SC,UNIAO DO OESTE,1.0,4218855,2430332.0
4696,SC,URUBICI,1.0,4218905,11579168.0
4697,SC,URUPEMA,1.0,4218954,3588860.0
4698,SC,URUSSANGA,1.0,4219002,14521556.0
4699,SC,VARGEAO,1.0,4219101,2824991.0
4700,SC,VARGEM,1.0,4219150,2975500.0
4701,SC,VARGEM BONITA,1.0,4219176,3965212.0
4702,SC,VIDAL RAMOS,1.0,4219200,5519660.0
4703,SC,VIDEIRA,2.0,4219309,36489509.0
4704,SC,VITOR MEIRELES,1.0,4219358,5285703.0
4705,SC,WITMARSUM,1.0,4219408,2947151.0
4706,SC,XANXERE,4.0,4219507,41776665.0
4707,SC,XAVANTINA,1.0,4219606,2841709.0
4708,SC,XAXIM,2.0,4219705,22738210.0
4709,SC,ZORTEA,1.0,4219853,2867626.0
4710,SC,BALNEARIO RINCAO,1.0,4220000,11982347.0
4711,SE,AMPARO DE SAO FRANCISCO,1.0,2800100,3830726.0
4712,SE,AQUIDABA,1.0,2800209,36033670.0
4713,SE,ARACAJU,42.0,2800308,873953695.0
4714,SE,ARAUA,1.0,2800407,20797782.0
4715,SE,AREIA BRANCA,1.0,2800506,31490721.0
4716,SE,BARRA DOS COQUEIROS,1.0,2800605,48621770.0
4717,SE,BOQUIM,1.0,2800670,46621688.0
4718,SE,BREJO GRANDE,1.0,2800704,14539020.0
4719,SE,CAMPO DO BRITO,0.0,2801009,32539142.0
4720,SE,CANHOBA,1.0,2801108,8339086.0
4721,SE,CANINDE DE SAO FRANCISCO,1.0,2801207,59340364.0
4722,SE,CAPELA,1.0,2801306,62748500.0
4723,SE,CARIRA,1.0,2801405,39582782.0
4724,SE,CARMOPOLIS,2.0,2801504,27394856.0
4725,SE,CEDRO DE SAO JOAO,1.0,2801603,8639220.0
4726,SE,CRISTINAPOLIS,1.0,2801702,33805271.0
4727,SE,CUMBE,1.0,2801900,7580882.0
4728,SE,DIVINA PASTORA,1.0,2802007,7333990.0
4729,SE,ESTANCIA,4.0,2802106,118703109.0
4730,SE,FEIRA NOVA,1.0,2802205,11546405.0
4731,SE,FREI PAULO,1.0,2802304,27371193.0
