HS - Combined  Product Code,HS - Combined  Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
321000,"Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather.",2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321100,Prepared driers.,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321210,Stamping foils,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321290,Other,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321310,Colours in sets,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321390,Other,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings",2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321490,Other,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321511,Black,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321519,Other,2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
321590,Other,2429,Manufacture of other chemical products n.e.c.
330111,(-2006) Of bergamot,2429,Manufacture of other chemical products n.e.c.
330112,Of orange,2429,Manufacture of other chemical products n.e.c.
330113,Of lemon,2429,Manufacture of other chemical products n.e.c.
330114,(-2006) Of lime,2429,Manufacture of other chemical products n.e.c.
330119,Other,2429,Manufacture of other chemical products n.e.c.
330121,(-2006) Of geranium,2429,Manufacture of other chemical products n.e.c.
330122,(-2006) Of jasmin,2429,Manufacture of other chemical products n.e.c.
330123,(-2006) Of lavender or of lavandin,2429,Manufacture of other chemical products n.e.c.
330124,Of peppermint (Mentha piperita),2429,Manufacture of other chemical products n.e.c.
330125,Of other mints,2429,Manufacture of other chemical products n.e.c.
330126,(-2006) Of vetiver,2429,Manufacture of other chemical products n.e.c.
330129,Other,2429,Manufacture of other chemical products n.e.c.
330130,Resinoids,2429,Manufacture of other chemical products n.e.c.
330190,Other,2429,Manufacture of other chemical products n.e.c.
330210,Of a kind used in the food or drink industries,2429,Manufacture of other chemical products n.e.c.
330290,Other,2429,Manufacture of other chemical products n.e.c.
330300,Perfumes and toilet waters.,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330410,Lip makeup preparations,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330420,Eye makeup preparations,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330430,Manicure or pedicure preparations,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330491,"Powders, whether or not compressed",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330499,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330510,Shampoos,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330520,Preparations for permanent waving or straightening,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330530,Hair lacquers,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330590,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330610,Dentifrices,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330620,(1996-) Yarn used to clean between the teeth (dental floss),2430,Manufacture of man-made fibres
330690,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330710,"Preshave, shaving or aftershave preparations",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330720,Personal deodorants and antiperspirants,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330730,Perfumed bath salts and other bath preparations,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330741,Agarbatti and other odoriferous preparations which operate by burning,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330749,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
330790,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340111,For toilet use (including medicated products),2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340119,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340120,Soap in other forms,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340130,"(2002-) Organic surfaceactive products and preparations for washing the  skin,  in  the  form  of  liquid or cream and put up for retail sale, whether or not containing soap",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340211,Anionic,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340212,Cationic,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340213,Non-ionic,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340219,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340220,Preparations put up for retail sale,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340290,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340311,"Preparations for the treatment of textile materials, leather, furskins or other materials",2429,Manufacture of other chemical products n.e.c.
340319,Other,2429,Manufacture of other chemical products n.e.c.
340391,"Preparations for the treatment of textile materials, leather, furskins or other materials",2429,Manufacture of other chemical products n.e.c.
340399,Other,2429,Manufacture of other chemical products n.e.c.
340410,(-2006) Of chemically modified lignite,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340420,Of poly(oxyethylene) (polyethylene glycol),2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340490,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340510,"Polishes, creams and similar preparations for footwear or leather",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340520,"Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340530,"Polishes and similar preparations for coachwork, other than metal polishes",2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340540,Scouring pastes and powders and other scouring preparations,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340590,Other,2424,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet prepara"
340600,"Candles, tapers and the like.",3699,Other manufacturing n.e.c.
340700,"Modelling pastes, including those put up for children's amusement; preparations known as dental wax or as dental impression compounds, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms; other preparati",2429,Manufacture of other chemical products n.e.c.
350110,Casein,1520,Manufacture of dairy products
350190,Other,2429,Manufacture of other chemical products n.e.c.
350210,(-1995) Egg albumin,1549,Manufacture of other food products n.e.c.
350211,(1996-) Dried,1549,Manufacture of other food products n.e.c.
350219,(1996-) Other,1549,Manufacture of other food products n.e.c.
350220,"(1996-) Milk albumin, including concentrates of two or more whey proteins",2429,Manufacture of other chemical products n.e.c.
350290,Other,2429,Manufacture of other chemical products n.e.c.
350300,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surfaceworked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 35.01.",2429,Manufacture of other chemical products n.e.c.
350400,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed.",2429,Manufacture of other chemical products n.e.c.
350510,Dextrins and other modified starches,1532,Manufacture of starches and starch products
350520,Glues,2429,Manufacture of other chemical products n.e.c.
350610,"Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg",2429,Manufacture of other chemical products n.e.c.
350691,Adhesives based on polymers of headings 39.01 to 39.13 or on rubber,2429,Manufacture of other chemical products n.e.c.
350699,Other,2429,Manufacture of other chemical products n.e.c.
350710,Rennet and concentrates thereof,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
350790,Other,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
360100,Propellent powders.,2429,Manufacture of other chemical products n.e.c.
360200,"Prepared explosives, other than propellent powders.",2429,Manufacture of other chemical products n.e.c.
360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators.,2429,Manufacture of other chemical products n.e.c.
360410,Fireworks,2429,Manufacture of other chemical products n.e.c.
360490,Other,2429,Manufacture of other chemical products n.e.c.
360500,"Matches, other than pyrotechnic articles of heading 36.04.",3699,Other manufacturing n.e.c.
360610,Liquid or liquefiedgas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3,3699,Other manufacturing n.e.c.
360690,Other,3699,Other manufacturing n.e.c.
370110,For Xray,2429,Manufacture of other chemical products n.e.c.
370120,Instant print film,2429,Manufacture of other chemical products n.e.c.
370130,"Other plates and film, with any side exceeding 255 mm",2429,Manufacture of other chemical products n.e.c.
370191,For colour photography (polychrome),2429,Manufacture of other chemical products n.e.c.
370199,Other,2429,Manufacture of other chemical products n.e.c.
370210,For Xray,2429,Manufacture of other chemical products n.e.c.
370220,(-2006) Instant print film,2429,Manufacture of other chemical products n.e.c.
370231,For colour photography (polychrome),2429,Manufacture of other chemical products n.e.c.
370232,"Other, with silver halide emulsion",2429,Manufacture of other chemical products n.e.c.
370239,Other,2429,Manufacture of other chemical products n.e.c.
370241,"Of a width exceeding 610 mm and of a length exceeding   200 m, for colour photography (polychrome)",2429,Manufacture of other chemical products n.e.c.
370242,"Of a width exceeding 610 mm and of a length exceeding   200 m, other than for colour photography",2429,Manufacture of other chemical products n.e.c.
370243,Of a width exceeding 610 mm and of a length not exceeding 200 m,2429,Manufacture of other chemical products n.e.c.
370244,Of a width exceeding 105 mm but not exceeding 610 mm,2429,Manufacture of other chemical products n.e.c.
370251,Of a width not exceeding 16 mm and of a length not exceeding 14 m,2429,Manufacture of other chemical products n.e.c.
370252,Of a width not exceeding 16 mm and of a length exceeding  14 m,2429,Manufacture of other chemical products n.e.c.
370253,"Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, for slides",2429,Manufacture of other chemical products n.e.c.
370254,"Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, other than for slides",2429,Manufacture of other chemical products n.e.c.
370255,Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m,2429,Manufacture of other chemical products n.e.c.
370256,Of a width exceeding 35 mm,2429,Manufacture of other chemical products n.e.c.
370291,Of a width not exceeding 16 mm,2429,Manufacture of other chemical products n.e.c.
370292,(-2001) Other :-- Of a width not exceeding 16 mm and of a ,2429,Manufacture of other chemical products n.e.c.
370293,Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m,2429,Manufacture of other chemical products n.e.c.
370294,Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m,2429,Manufacture of other chemical products n.e.c.
370295,Of a width exceeding 35 mm,2429,Manufacture of other chemical products n.e.c.
370310,In rolls of a width exceeding 610 mm,2429,Manufacture of other chemical products n.e.c.
370320,"Other, for colour photography (polychrome)",2429,Manufacture of other chemical products n.e.c.
370390,Other,2429,Manufacture of other chemical products n.e.c.
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed.",7494,Photographic activities
370510,For offset reproduction,7494,Photographic activities
370520,(-2006) Microfilms,7494,Photographic activities
370590,Other,7494,Photographic activities
370610,Of a width of 35 mm or more,9211,Motion picture and video production and distribution
370690,Other,9211,Motion picture and video production and distribution
370710,Sensitising emulsions,2429,Manufacture of other chemical products n.e.c.
370790,Other,2429,Manufacture of other chemical products n.e.c.
380110,Artificial graphite,2699,Manufacture of other non-metallic mineral products n.e.c.
380120,Colloidal or semicolloidal graphite,2699,Manufacture of other non-metallic mineral products n.e.c.
380130,Carbonaceous pastes for electrodes and similar pastes for furnace linings,2699,Manufacture of other non-metallic mineral products n.e.c.
380190,Other,2699,Manufacture of other non-metallic mineral products n.e.c.
380210,Activated carbon,2429,Manufacture of other chemical products n.e.c.
380290,Other,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380300,"Tall oil, whether or not refined.",2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
