"CO_NBM";"CO_NCM"
"0306130000";"03061300"
"0306190000";"03061900"
"0306230199";"03062900"
"0306239900";"03062300"
"0306249900";"03062400"
"2801200100";"28012090"
"2801300100";"28013000"
"2802000200";"28020000"
"2804290000";"28042910"
"2804700100";"28047010"
"2804700200";"28047020"
"2805210000";"28052100"
"2810000200";"28100010"
"2810009900";"28100090"
"2811190700";"28111990"
"2811191200";"28111990"
"2811220100";"28112210"
"2811239900";"28112300"
"2812100201";"28121019"
"2812100600";"28121019"
"2816200000";"28162000"
"2912600000";"29126000"
"2914130000";"29141300"
"2914190400";"29141922"
"2914230100";"29142310"
"2914300400";"29143990"
"2914300700";"29143990"
"2914490400";"29144099"
"2914500000";"29145010"
"2914699900";"29146990"
"2914700600";"29147019"
"2914700800";"29147029"
"2914701600";"29147019"
"2915120200";"29151210"
"2915340000";"29153400"
"2915350000";"29153500"
"2915390500";"29153939"
"2915390703";"29153921"
"2915391000";"29153942"
"2915391500";"29153939"
"2915392800";"29153999"
"2915400201";"29154090"
"9503800100";"95038010"
"9506400100";"95064000"
"9506400400";"95064000"
"9506990300";"95069900"
"9508000100";"95080000"
"9603290100";"96032900"
"9603299900";"96032900"
"9603409900";"96034090"
"9603900300";"96039000"
"9604000000";"96040000"
"9605000101";"96050000"
"9605000199";"96050000"
"9605000200";"96050000"
"9606290100";"96062900"
"9606290200";"96062900"
"9608100100";"96081000"
"6814900100";"68149000"
"8414800600";"84148090"
"8414900405";"84149039"
"8415100000";"84151010"
"8416300100";"84163000"
"8417100300";"84171090"
"8417100400";"84171090"
"8417200000";"84172000"
"8418690100";"84186990"
"8418690500";"84186990"
"8418690600";"84186990"
"8540200101";"85402019"
"8540200102";"85402011"
"8540890200";"85408910"
"8703900100";"87039000"
"8704310200";"87043110"
"8704329900";"87043290"
"8706000100";"87060010"
"8707900199";"87079090"
"8708500100";"87085010"
"8708500200";"87085010"
"5403200301";"54032090"
"5403399900";"54033900"
"7216310100";"72163100"
"7216400100";"72164010"
"7216600200";"72166190"
"7217110100";"72171090"
"7217229900";"72172090"
"7217310000";"72171019"
"7219340000";"72193400"
"7220200000";"72202010"
"7220200100";"72202010"
"7221009900";"72210000"
"8448390105";"84483919"
"8448390106";"84483912"
"8448390202";"84483929"
"6815990100";"68159910"
"6902209999";"69022099"
"6903100300";"69031040"
"6903200100";"69032010"
"6903900100";"69039091"
"6909119902";"69091100"
"6909190200";"69091990"
"9403200600";"94032000"
"9403800200";"94038000"
"9403809903";"94038000"
"9403900000";"94039090"
"9405100300";"94051099"
"9405400700";"94054090"
"9405600101";"94056000"
"9405600200";"94056000"
"9405920100";"94059200"
"9501000199";"95010000"
"9502100100";"95021010"
"9503490000";"95034900"
"8536490200";"85364900"
"8536909900";"85369090"
"8537109900";"85371030"
"8538900100";"85389090"
"8538900202";"85389090"
"8539900500";"85399090"
"5402330100";"54023300"
"5402490201";"54024910"
"5402510100";"54025110"
"5402590199";"54025900"
"5402599900";"54025900"
"5402619901";"54026190"
"5402629900";"54026200"
"5402690499";"54026900"
"8445200300";"84452030"
"8445309900";"84453090"
"8446300100";"84463090"
"8448110200";"84481120"
"8448119900";"84481190"
"8448190100";"84481900"
"8448190202";"84481900"
"8448199900";"84481900"
"8448209900";"84482090"
"8901200200";"89012000"
"8901300100";"89013000"
"8902000101";"89020010"
"8902000102";"89020010"
"8903919901";"89039100"
"6704200000";"67042000"
"6704900000";"67049000"
"6802930000";"68029310"
"6805200200";"68052000"
"6806100000";"68061000"
"6806200200";"68062000"
"6807900100";"68079000"
"6810910300";"68109100"
"6811200102";"68112000"
"6812100100";"68121010"
"6812200000";"68122000"
"6812500102";"68125000"
"6812600100";"68126000"
"6812900100";"68129010"
"6813100101";"68131090"
"6813100200";"68131010"
"5208110100";"52081100"
"5208430000";"52084300"
"5208530000";"52085300"
"5209120100";"52091200"
"5209210000";"52092100"
"5210199900";"52101900"
"5211120100";"52111200"
"7015900000";"70159010"
"7117190500";"71171900"
"7117199900";"71171900"
"7117900203";"71179000"
"7117900305";"71179000"
"7117900307";"71179000"
"7117900309";"71179000"
"7117900402";"71179000"
"7117900403";"71179000"
"7117900601";"71179000"
"7117900699";"71179000"
"7117900702";"71179000"
"7117900709";"71179000"
"8425420100";"84254200"
"8426419900";"84264100"
"8426490000";"84264900"
"8427100100";"84271019"
"8905900100";"89059000"
"8906009900";"89060000"
"8907909900";"89079000"
"8908000100";"89080000"
"9001300000";"90013000"
"9001400300";"90014000"
"9002190100";"90021900"
"9002199900";"90021900"
"9002200100";"90022010"
"9002900199";"90029000"
"9002900500";"90029000"
"9003900500";"90039090"
"9006510000";"90065100"
"5408240200";"54082400"
"5501100000";"55011000"
"5501900000";"55019000"
"8207110100";"82071300"
"8207120201";"82071900"
"8207400100";"82074010"
"8207500100";"82075019"
"8207900101";"82079000"
"8208900000";"82089000"
"8210000300";"82100090"
"8211910100";"82119100"
"8211930200";"82119320"
"8212100100";"82121010"
"8212200100";"82122010"
"8212200201";"82122020"
"8213000100";"82130000"
"8213000200";"82130000"
"8214200100";"82142000"
"8214900500";"82149010"
"8302100000";"83021000"
"7019909900";"70199000"
"7102100100";"71021000"
"7103100402";"71031000"
"7103100801";"71031000"
"7103100802";"71031000"
"8414400101";"84144010"
"8414409999";"84144090"
"8414800399";"84148039"
"8414800402";"84148039"
"8427200100";"84272010"
"8427900100";"84279000"
"8428310100";"84283100"
"8428320000";"84283200"
"8428330000";"84283300"
"8428390400";"84283990"
"8429190000";"84291910"
"8429519900";"84295190"
"8429590000";"84295900"
"8430499900";"84304990"
"8430620100";"84306200"
"8430620200";"84306200"
"8430690200";"84306990"
"8430690400";"84306990"
"8431390000";"84313900"
"8703240801";"87032410"
"8703310100";"87033110"
"8703310200";"87033110"
"8703319900";"87033190"
"5503100000";"55031010"
"5508100200";"55081000"
"5508200200";"55082000"
"5509120200";"55091210"
"5509329900";"55093200"
"5509519900";"55095100"
"5509539900";"55095300"
"7214500200";"72149990"
"7215300000";"72155000"
"8517810100";"85175041"
"8518100000";"85181000"
"8519100000";"85191000"
"8519210000";"85192100"
"2939100301";"29391090"
"2939100499";"29391012"
"2939101800";"29391019"
"2939102200";"29391019"
"2939210100";"29392100"
"2939300100";"29393010"
"2939400600";"29394200"
"2939500100";"29395010"
"2939600301";"29396939"
"2939600399";"29396939"
"2939600402";"29396941"
"2939600403";"29396942"
"2939600800";"29396990"
"2939600999";"29396919"
"2939901500";"29399090"
"2939902199";"29399090"
"2940000200";"29400099"
"4409100200";"44091000"
"4409109900";"44091000"
"4409200100";"44092000"
"4409200300";"44092000"
"4411190100";"44111900"
"4411290100";"44112900"
"4411910100";"44119100"
"4418900200";"44189000"
"2905190399";"29051929"
"2905320100";"29053200"
"2905430000";"29054300"
"2905490300";"29054900"
"2905500100";"29055090"
"2906190600";"29061940"
"2906190700";"29061910"
"2906210000";"29062100"
"2906290700";"29062990"
"2906290800";"29062990"
"2907110000";"29071100"
"2907290700";"29072900"
"2907291100";"29072900"
"2908100100";"29081011"
"2908100900";"29081019"
"2908200102";"29082010"
"2908200300";"29349099"
"2908900299";"29089019"
"2908900301";"29089019"
"4403990199";"44039900"
"4407100102";"44071000"
"4407100199";"44071000"
"4407100201";"44071000"
"4407100299";"44071000"
"4407220100";"44072990"
"4407910300";"44079100"
"4407920200";"44079200"
"4407920300";"44079200"
"4407990102";"44072490"
"4407990199";"44079910"
"4407990206";"44079990"
"4407990213";"44072930"
"4407990216";"44079990"
"4407990304";"44079990"
"4408200101";"44083990"
"4408900105";"44089000"
"4408900199";"44089000"
"1518009999";"15180000"
"1519300100";"38237090"
"1519309904";"38237090"
"1519309905";"38237030"
"1521900103";"15219090"
"1521900203";"15219019"
"1522000202";"15220000"
"1522000299";"15220000"
"1602310100";"16023100"
"1604140200";"16041420"
"1604209902";"16042020"
"1605400100";"16054000"
"3004310100";"30043100"
"3004319900";"30043100"
"3004390300";"30043925"
"3004900199";"30049099"
"3004900399";"30049099"
"3004900900";"30049019"
"3006400102";"30064011"
"3006400200";"30064012"
"3006400500";"30064020"
"3102500201";"31025090"
"1205000000";"12050090"
"1207400000";"12074090"
"1209220000";"12092200"
"1209240000";"12092400"
"1211200000";"12112000"
"1211900700";"12119090"
"1211901100";"12119090"
"1211901200";"12119090"
"1211901600";"12119090"
"1212100000";"12121000"
"1212200100";"12122000"
"1302140000";"13021400"
"1302190400";"13021910"
"1302200100";"13022010"
"1302209900";"13022090"
"2903401006";"29034546"
"2903401101";"29034590"
"2903590500";"29035990"
"2903691600";"29036922"
"2904100100";"29041020"
"2904200203";"29042090"
"2904200205";"29042049"
"2904201003";"29042070"
"2904201400";"29042090"
"2904900208";"29049019"
"2904900399";"29049029"
"2905110000";"29051100"
"2905120100";"29051210"
"2905140100";"29051410"
"3103900100";"31039090"
"3103900299";"31039019"
"3105590000";"31055900"
"3201300100";"32019012"
"3201909900";"32019090"
"3206100103";"32061121"
"3207100100";"32071090"
"3207300100";"32073000"
"2106901201";"21069010"
"2106901399";"21069010"
"2106901601";"21069010"
"2106901699";"21069010"
"2202100402";"22021000"
"2202100601";"22021000"
"2202100705";"22021000"
"2202100799";"22021000"
"2202100802";"22021000"
"2202101199";"22021000"
"2202101203";"22021000"
"2202101399";"22021000"
"2202900101";"22021000"
"2202900399";"22021000"
"2202900499";"22021000"
"2921190202";"29211922"
"2921190204";"29211924"
"2921219900";"29212100"
"2921290199";"29212910"
"2921300200";"29213012"
"2921410000";"29214100"
"2921421000";"29214290"
"2921490101";"29214921"
"2921490199";"29214922"
"2921590102";"29215919"
"2922120100";"29221200"
"2922139900";"29221320"
"2922190400";"29221919"
"3916200100";"39162000"
"3916900200";"39169090"
"3917320100";"39173251"
"3917329900";"39173290"
"3920730200";"39207390"
"3920919900";"39209100"
"3920930000";"39209300"
"3920990000";"39209910"
"3921130000";"39211300"
"3921900100";"39219090"
"3921900400";"39219090"
"3923290100";"39232910"
"4804510000";"48045100"
"4808100000";"48081000"
"4808300000";"48083000"
"4810119900";"48101100"
"4810120500";"48101290"
"4810210000";"48102100"
"4810210100";"48102100"
"4810290100";"48102900"
"4810290500";"48102900"
"4810320000";"48103200"
"4810910100";"48109100"
"4810999900";"48109900"
"4811400000";"48114000"
"4812000000";"48120000"
"2915600399";"29156012"
"2915700303";"29157039"
"2915900802";"29159090"
"2915901207";"29159090"
"2916190100";"29161911"
"2916330200";"29163400"
"2916390200";"29163910"
"2917190200";"29171990"
"2917190500";"29171990"
"2917320000";"29173200"
"2917349900";"29173400"
"3823500000";"38245000"
"3823900799";"38247900"
"3823909901";"38249076"
"3823909909";"38249090"
"3823909911";"38249079"
"3823909924";"38249079"
"3901900000";"39019090"
"3903190000";"39031900"
"3903909900";"39039090"
"0507900201";"05079000"
"0510000400";"05100090"
"0510009900";"05100090"
"0511910199";"05119190"
"0511990800";"05119990"
"0601200000";"06012000"
"0602400100";"06024000"
"0603100100";"06031000"
"0603109900";"06031000"
"0705110000";"07051100"
"0705210000";"07052100"
"0707000000";"07070000"
"0710220000";"07102200"
"0710290000";"07102900"
"0710800000";"07108000"
"0711200200";"07112020"
"2008190299";"20081900"
"2008199999";"20081900"
"2008400100";"20084090"
"2008600100";"20086090"
"2008920100";"20089210"
"2008990101";"20089900"
"2008990199";"20089900"
"2009309900";"20093000"
"2009800200";"20098000"
"2103900101";"21039011"
"2104100100";"21041011"
"2105000000";"21050010"
"2106100000";"21061000"
"2106900101";"21069010"
"2106900102";"21069010"
"3603000100";"36030000"
"3604900100";"36049090"
"3606900299";"36069000"
"3701919900";"37019100"
"3701990101";"37019900"
"3702449900";"37024429"
"3702940000";"37029400"
"3703109900";"37031021"
"3704009999";"37040000"
"3705200000";"37052000"
"0204230000";"02042300"
"0204420000";"02044200"
"0205000101";"02050000"
"0205000102";"02050000"
"0206900000";"02069000"
"0207399900";"02073400"
"0209000102";"02090019"
"0209000301";"02090090"
"0210110100";"02101100"
"0210120199";"02101200"
"0301100000";"03011000"
"2616909900";"26169000"
"2617109900";"26171000"
"2618000000";"26180000"
"2620110000";"26201100"
"2701190000";"27011900"
"2708200000";"27082000"
"2710000102";"27100042"
"2710000303";"27100021"
"2710009907";"27100094"
"2711199900";"27111990"
"2908900600";"29089021"
"2908900700";"29089029"
"2909190400";"29091990"
"2909191500";"29091990"
"2909199900";"29091990"
"2909300500";"29093013"
"2909300800";"29093029"
"2909301100";"29093019"
"2909302100";"29093029"
"2909490100";"29094910"
"2909499900";"29094990"
"2909500600";"29095090"
"2909500700";"29095011"
"2909600500";"29096020"
"2909600600";"29096020"
"2909600700";"29096013"
"2911000300";"29110090"
"2911000700";"29110010"
"2912110000";"29121100"
"2912190700";"29121991"
"2912190900";"29121919"
"2912191100";"29121919"
"2912290102";"29122990"
"2912300200";"29123090"
"5106100000";"51061000"
"5107100299";"51071019"
"5109900100";"51099000"
"5109900200";"51099000"
"5111190100";"51111900"
"5111200200";"51112000"
"5112300200";"51123020"
"5113000100";"51130011"
"8483300100";"84833090"
"8483300300";"84833020"
"8472100100";"84721000"
"8472109900";"84721000"
"8472900100";"84729090"
"8473300800";"84733023"
"8474109900";"84741000"
"8474200300";"84742090"
"8474200400";"84742090"
"8474390000";"84743900"
"8475200200";"84752990"
"8475900000";"84759000"
"8477109900";"84771099"
"8477400000";"84774000"
"9101190299";"91011900"
"9101910299";"91019100"
"9101990199";"91019900"
"8480300200";"84803000"
"8480600000";"84806000"
"8481809909";"84818097"
"9112909900";"91129000"
"9114300000";"91143000"
"8501100101";"85011011"
"8501100299";"85011029"
"8501330201";"85013320"
"8501340299";"85013420"
"9102910100";"91029100"
"9108110100";"91081110"
"9108120100";"91081200"
"9109190000";"91091900"
"9110110100";"91101110"
"9111100100";"91111000"
"6204120000";"62041200"
"6204130000";"62041300"
"6204210000";"62042100"
"6204330000";"62043300"
"6204410000";"62044100"
"8503000100";"85030010"
"8504220000";"85042200"
"8504319901";"85043192"
"8504900199";"85049010"
"8506900000";"85069000"
"8507300100";"85073019"
"8507900200";"85079090"
"8508800102";"85088099"
"8508809900";"85088099"
"8509300000";"85093000"
"8509400100";"85094020"
"8509400200";"85094010"
"8509809900";"85098000"
"8311100200";"83111000"
"8311100300";"83111000"
"8311300100";"83113000"
"8311300300";"83113000"
"8311900200";"83119000"
"8401209099";"84012000"
"8402200200";"84022000"
"8403100000";"84031010"
"8403900000";"84039000"
"8407320201";"84073200"
"8407320300";"84073200"
"8525100101";"85251010"
"8541409905";"85414039"
"8541500100";"85415010"
"8543300000";"85433000"
"8543809900";"85438990"
"8543900200";"85439090"
"8544590201";"85445900"
"8544590299";"85445900"
"8545110000";"85451100"
"8545190100";"85451910"
"8545900300";"85459020"
"8546900000";"85469000"
"5211520000";"52115200"
"5212220000";"52122200"
"7202490000";"72024900"
"7202800000";"72028000"
"7202990100";"72029990"
"7204490000";"72044900"
"7208130000";"72081000"
"7208240100";"72082790"
"7208240200";"72082790"
"7208320000";"72084000"
"7208410100";"72085100"
"7208420100";"72084000"
"8431420000";"84314200"
"8431430000";"84314390"
