RTA Name,Start_Year,End_Implementation_Year_G,Expanded_Signatories
EU - Jordan,2002.0,2013.0,400;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Kenya,2024.0,2049.0,404;826
"EU - Korea, Republic of ",2011.0,2031.0,410;100;642
EU - Lebanon,2003.0,2015.0,422;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Mexico,2000.0,2010.0,484;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
"EU - Moldova, Republic of",2014.0,2024.0,498;191
EU - Montenegro,2008.0,2013.0,499;100;642
EU - Morocco,2000.0,2011.0,504;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - New Zealand,2024.0,2030.0,554;826
EU - North Macedonia,2001.0,2014.0,807;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Norway,2073.0,2074.0,578;826
EU – Overseas Countries and Territories (OCT),2071.0,2072.0,060;086;092;136;238;239;258;260;304;500;533;540;612;654;660;666;796;876;826
EU - Pacific States,2009.0,2039.0,090;242;598;882;100;642
EU - Pacific States - Accession of Samoa,2018.0,2039.0,242;598;882;191
EU - Pacific States - Accession of Solomon Islands,2020.0,2038.0,090;242;598;826
EU - Palestine,1997.0,2002.0,275;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - SADC,2016.0,2028.0,072;426;508;516;710;748;191
EU - San Marino,2002.0,2002.0,674;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Serbia,2010.0,2014.0,688;100;642
EU - Singapore,2019.0,2024.0,702;191
EU - South Africa,2000.0,2012.0,710;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Switzerland - Liechtenstein,2073.0,2074.0,438;756;826
EU - Syria,1977.0,1980.0,760
EU - Tunisia,1998.0,2009.0,788;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Türkiye,1996.0,1996.0,792;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Ukraine,2014.0,2026.0,804;191
EU - United Kingdom,2021.0,2021.0,826;826
EU - Viet Nam,2020.0,2035.0,704;826
EU (28) Enlargement,2013.0,2023.0,040;056;100;191;196;203;208;233;246;250;276;300;348;372;380;428;440;442;470;528;616;620;642;703;705;724;752
EU Treaty,2058.0,2059.0,040;056;100;191;196;203;208;233;246;250;276;300;348;372;380;428;440;442;470;528;616;620;642;703;705;724;752
Eurasian Economic Union (EAEU) ,2015.0,2025.0,051;112;398;417;643
Eurasian Economic Union (EAEU) - Accession of Armenia,2015.0,2025.0,051;112;398;643
Eurasian Economic Union (EAEU) - Accession of the Kyrgyz Republic,2015.0,2025.0,051;112;398;417;643
Eurasian Economic Union (EAEU) - Iran,2019.0,2019.0,364;051;112;398;417;643
Eurasian Economic Union (EAEU) - Serbia,2021.0,2021.0,688;051;112;398;417;643
Eurasian Economic Union (EAEU) - Viet Nam,2016.0,2027.0,704;051;112;398;417;643
European Economic Area (EEA),1994.0,1994.0,352;438;578
European Free Trade Association (EFTA),2060.0,2061.0,352;438;578;756
Faeroe Islands - Norway,1993.0,1993.0,234;578
Faeroe Islands - Switzerland,1995.0,1995.0,234;756
Georgia - Armenia ,1998.0,1998.0,051;268
Georgia - Azerbaijan ,1996.0,1996.0,031;268
Georgia - Kazakhstan ,1999.0,1999.0,268;398
Georgia - Russian Federation,1994.0,1994.0,268;643
Georgia - Turkmenistan ,2000.0,2000.0,268;795
Georgia - Ukraine ,1996.0,1996.0,268;804
Global System of Trade Preferences among Developing Countries (GSTP),1989.0,1989.0,012;032;050;068;076;104;120;144;152;170;192;204;218;288;324;328;356;360;364;368;408;410;434;458;484;504;508;558;566;586;604;608;702;704;716;729;764;780;788;818;834;862
GUAM,2003.0,2003.0,031;268;498;804
Guatemala - Chinese Taipei,2006.0,2020.0,158;320
Gulf Cooperation Council (GCC),2003.0,2006.0,048;414;512;634;682;784
Gulf Cooperation Council (GCC) - Singapore,2013.0,2018.0,702;682;784;048;414;512;634
"Hong Kong, China - Australia",2020.0,2020.0,036;344
"Hong Kong, China - Chile",2014.0,2016.0,152;344
"Hong Kong, China - Georgia",2019.0,2019.0,268;344
"Hong Kong, China - Macao, China",2017.0,2018.0,344;446
"Hong Kong, China - New Zealand",2011.0,2016.0,344;554
Iceland - China,2014.0,2024.0,156;352
Iceland - Faeroe Islands,2006.0,2006.0,234;352
India - Afghanistan,2003.0,2003.0,004;356
India - Australia,2022.0,2031.0,036;356
India - Bhutan,2006.0,2006.0,064;356
India - Japan,2011.0,2026.0,356;392
India - Malaysia,2011.0,2019.0,356;458
India - Mauritius,2021.0,2035.0,356;480
India - Nepal,2009.0,2009.0,356;524
India - Singapore,2005.0,2009.0,356;702
India - Sri Lanka,2000.0,2008.0,144;356
India - Thailand,2004.0,2006.0,356;764
India - United Arab Emirates,2022.0,2031.0,356;784
Indonesia - Australia,2020.0,2040.0,036;360
"Indonesia - Korea, Republic of",2023.0,2042.0,360;410
Indonesia - Pakistan,2013.0,2019.0,360;586
Israel - Mexico,2000.0,2005.0,376;484
Japan - Australia ,2015.0,2031.0,036;392
Japan - Indonesia ,2008.0,2023.0,360;392
Japan - Malaysia,2006.0,2021.0,392;458
Japan - Mexico,2005.0,2015.0,392;484
Japan - Mongolia,2016.0,2036.0,392;496
Japan - Peru,2012.0,2027.0,392;604
Japan - Philippines,2008.0,2023.0,392;608
Japan - Singapore,2002.0,2022.0,392;702
Japan - Switzerland ,2009.0,2024.0,392;756
Japan - Thailand,2007.0,2022.0,392;764
Japan - Viet Nam ,2009.0,2026.0,392;704
Jordan - Singapore,2005.0,2014.0,400;702
Kazakhstan - Azerbaijan,1999.0,2012.0,031;398
Kazakhstan - Serbia,2012.0,2012.0,398;688
Kazakhstan - Uzbekistan,1998.0,1998.0,398;860
"Korea, Republic of - Australia",2014.0,2033.0,036;410
"Korea, Republic of - Cambodia",2022.0,2041.0,116;410
"Korea, Republic of - Central America",2019.0,2039.0,188;222;340;410;558;591
"Korea, Republic of - Chile",2004.0,2020.0,152;410
"Korea, Republic of - Colombia",2016.0,2035.0,170;410
"Korea, Republic of - India",2010.0,2019.0,356;410
"Korea, Republic of - Israel",2022.0,2040.0,376;410
"Korea, Republic of - New Zealand",2015.0,2034.0,410;554
"Korea, Republic of - Singapore",2006.0,2016.0,410;702
"Korea, Republic of - Türkiye",2013.0,2023.0,410;792
"Korea, Republic of - United States",2012.0,2041.0,410;840
"Korea, Republic of - Viet Nam",2015.0,2029.0,410;704
Kyrgyz Republic - Armenia,1995.0,1995.0,051;417
Kyrgyz Republic - Azerbaijan,2006.0,2006.0,031;417
Kyrgyz Republic - Kazakhstan,1995.0,1995.0,398;417
"Kyrgyz Republic - Moldova, Republic of",1996.0,1996.0,417;498
Kyrgyz Republic - Ukraine,1998.0,1998.0,417;804
Kyrgyz Republic - Uzbekistan,1998.0,1998.0,417;860
Lao People's Democratic Republic - Thailand,1991.0,1991.0,418;764
Latin American Integration Association (LAIA),1981.0,1981.0,032;068;076;152;170;192;218;484;600;604;858;862
Latin American Integration Association (LAIA) - Accession of Cuba,1999.0,1999.0,032;068;076;152;170;192;218;484;600;604;858;862
Malaysia - Australia,2013.0,2026.0,036;458
Mauritius - Pakistan,2007.0,2008.0,480;586
Melanesian Spearhead Group (MSG),1994.0,1994.0,090;242;548;598
"Mexico - Bolivia, Plurinational State of ",2010.0,2010.0,068;484
Mexico - Central America,2012.0,2022.0,188;222;320;340;484;558
Mexico - Cuba,2001.0,2014.0,192;484
Mexico - Panama,2015.0,2029.0,484;591
Mexico - Paraguay,1984.0,1984.0,484;600
Mexico - Uruguay,2004.0,2013.0,484;858
Morocco - United Arab Emirates,2003.0,2003.0,504;784
Mozambique - Indonesia,2022.0,2022.0,360;508
Namibia - Zimbabwe,1993.0,1993.0,516;716
New Zealand - Chinese Taipei,2013.0,2025.0,158;554
New Zealand - Malaysia,2010.0,2016.0,458;554
New Zealand - Singapore,2001.0,2001.0,554;702
Pacific Alliance,2016.0,2030.0,152;170;484;604
Pacific Island Countries Trade Agreement (PICTA),2003.0,2021.0,090;184;242;296;520;548;570;583;598;776;798;882
Pakistan - China,2007.0,2012.0,156;586
Pakistan - Malaysia,2008.0,2015.0,458;586
Pakistan - Sri Lanka,2005.0,2011.0,144;586
Panama - Chile,2008.0,2022.0,152;591
Panama - Chinese Taipei,2004.0,2013.0,158;591
Panama - Costa Rica (Panama - Central America),2008.0,2026.0,188;591
Panama - Dominican Republic,1987.0,2003.0,214;591
Panama - El Salvador (Panama - Central America),2003.0,2013.0,222;591
Panama - Guatemala (Panama - Central America),2009.0,2028.0,320;591
Panama - Honduras (Panama - Central America),2009.0,2026.0,340;591
Panama - Nicaragua (Panama - Central America),2009.0,2024.0,558;591
Panama - Peru,2012.0,2029.0,591;604
Panama - Singapore,2006.0,2016.0,591;702
Pan-Arab Free Trade Area (PAFTA),1998.0,2005.0,048;368;400;414;422;434;504;512;634;682;729;760;784;788;818;887
Peru - Australia,2020.0,2029.0,036;604
Peru - Chile,2009.0,2016.0,152;604
Peru - China,2010.0,2026.0,156;604
Peru - Honduras,2017.0,2031.0,340;604
"Peru - Korea, Republic of",2011.0,2027.0,410;604
Peru - Mexico,2012.0,2023.0,484;604
Peru - Singapore,2009.0,2025.0,604;702
