uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AL,2020,3351543.0,Tentativa de homicídio,0.0,503.0,Nordeste,0.0,15.008012727272185
AL,2021,3365351.0,Tentativa de homicídio,0.0,504.0,Nordeste,0.0,14.97614959033991
AL,2022,3316935.3333333335,Tentativa de homicídio,0.0,663.0,Nordeste,0.0,19.98833059352177
AL,2023,3268519.6666666665,Tentativa de homicídio,0.0,696.0,Nordeste,0.0,21.294043511440808
AL,2024,3220104.0,Tentativa de homicídio,0.0,745.0,Nordeste,0.0,23.135898716314752
AM,2017,4063614.0,Furto de veículo,3466.0,0.0,Norte,85.29353427761593,0.0
AM,2018,4080611.0,Furto de veículo,2534.0,0.0,Norte,62.09854357594978,0.0
AM,2019,4144597.0,Furto de veículo,2073.0,0.0,Norte,50.016925650431155,0.0
AM,2020,4207714.0,Furto de veículo,1998.0,0.0,Norte,47.4842158949016,0.0
AM,2021,4269995.0,Furto de veículo,1905.0,0.0,Norte,44.61363537896414,0.0
AM,2022,4273733.0,Furto de veículo,2016.0,0.0,Norte,47.171875266891966,0.0
AM,2023,4277471.0,Furto de veículo,1608.0,0.0,Norte,37.59230629500469,0.0
AM,2024,4281209.0,Furto de veículo,1912.0,0.0,Norte,44.660281710143096,0.0
AM,2017,4063614.0,Homicídio doloso,0.0,1191.0,Norte,0.0,29.308886129440445
AM,2018,4080611.0,Homicídio doloso,0.0,1094.0,Norte,0.0,26.80971060461289
AM,2019,4144597.0,Homicídio doloso,0.0,1058.0,Norte,0.0,25.52721048632714
AM,2020,4207714.0,Homicídio doloso,0.0,938.0,Norte,0.0,22.292389644353204
AM,2021,4269995.0,Homicídio doloso,0.0,1464.0,Norte,0.0,34.28575443296772
AM,2022,4273733.0,Homicídio doloso,0.0,1319.0,Norte,0.0,30.86294815328894
AM,2023,4277471.0,Homicídio doloso,0.0,1254.0,Norte,0.0,29.316388118119328
AM,2024,4281209.0,Homicídio doloso,0.0,1049.0,Norte,0.0,24.50242443197704
AM,2017,4063614.0,Lesão corporal seguida de morte,0.0,36.0,Norte,0.0,0.8859109157513484
AM,2018,4080611.0,Lesão corporal seguida de morte,0.0,28.0,Norte,0.0,0.6861717522204396
AM,2019,4144597.0,Lesão corporal seguida de morte,0.0,23.0,Norte,0.0,0.554939358398416
