,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
162,1900.0,318263.0,80547.0,1,24999,2006,NC,14641179.0,412555.0
163,1900.0,2173314.0,126104.0,25000,49999,2006,NC,14641179.0,412555.0
164,1900.0,3708534.0,104600.0,50000,74999,2006,NC,14641179.0,412555.0
165,1900.0,3167700.0,51573.0,75000,99999,2006,NC,14641179.0,412555.0
166,1900.0,2392093.0,27722.0,100000,199999,2006,NC,14641179.0,412555.0
167,1900.0,2881275.0,22009.0,200000,10000000000000000,2006,NC,14641179.0,412555.0
168,2000.0,439977.0,118877.0,1,24999,2006,VA,31095242.0,723702.0
169,2000.0,3097465.0,178745.0,25000,49999,2006,VA,31095242.0,723702.0
170,2000.0,6795923.0,188420.0,50000,74999,2006,VA,31095242.0,723702.0
171,2000.0,6532605.0,106161.0,75000,99999,2006,VA,31095242.0,723702.0
172,2000.0,5720886.0,66211.0,100000,199999,2006,VA,31095242.0,723702.0
173,2000.0,8508386.0,65288.0,200000,10000000000000000,2006,VA,31095242.0,723702.0
174,2100.0,70149.0,23096.0,1,24999,2006,NC,3679557.0,107588.0
175,2100.0,561193.0,32962.0,25000,49999,2006,NC,3679557.0,107588.0
176,2100.0,939215.0,26601.0,50000,74999,2006,NC,3679557.0,107588.0
177,2100.0,766141.0,12472.0,75000,99999,2006,NC,3679557.0,107588.0
178,2100.0,591460.0,6834.0,100000,199999,2006,NC,3679557.0,107588.0
179,2100.0,751399.0,5623.0,200000,10000000000000000,2006,NC,3679557.0,107588.0
180,2200.0,92465.0,26589.0,1,24999,2006,VA,5019719.0,140168.0
181,2200.0,710392.0,41224.0,25000,49999,2006,VA,5019719.0,140168.0
182,2200.0,1336193.0,37627.0,50000,74999,2006,VA,5019719.0,140168.0
183,2200.0,1108868.0,18082.0,75000,99999,2006,VA,5019719.0,140168.0
184,2200.0,827189.0,9590.0,100000,199999,2006,VA,5019719.0,140168.0
185,2200.0,944612.0,7056.0,200000,10000000000000000,2006,VA,5019719.0,140168.0
186,2300.0,72712.0,20352.0,1,24999,2006,VA,4531673.0,111476.0
187,2300.0,484612.0,27975.0,25000,49999,2006,VA,4531673.0,111476.0
188,2300.0,1023681.0,28440.0,50000,74999,2006,VA,4531673.0,111476.0
189,2300.0,1033046.0,16744.0,75000,99999,2006,VA,4531673.0,111476.0
190,2300.0,834521.0,9688.0,100000,199999,2006,VA,4531673.0,111476.0
191,2300.0,1083101.0,8277.0,200000,10000000000000000,2006,VA,4531673.0,111476.0
192,2400.0,475688.0,142474.0,1,24999,2006,VA,38764352.0,839146.0
