PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,latitude,longitude,pobres,idhm,rendapercapita,populacao,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,candidaturas_mun
0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,2016,7641,11,,1,-3.4324501,-45.6619,54.689999,.52100003,190.14999,11669,MA,GOVERNADOR NEWTON BELLO,PREFEITO,COLIGACAO,PCdoB,O INICIO DE UM NOVO TEMPO,PCdoB / PSD / PR / PSC / PEN / PP / PRTB / PHS / PRP / PT / PSDB / PROS,,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2016,7641,11,,1,-3.4324501,-45.6619,54.689999,.52100003,190.14999,11669,MA,GOVERNADOR NEWTON BELLO,PREFEITO,COLIGACAO,PRB,UNIDOS PARA VENCER,PRB / PDT / REDE / PSL / PPS / PSDC,,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7641,11,15,0,-3.4324501,-45.6619,54.689999,.52100003,190.14999,11669,MA,GOVERNADOR NEWTON BELLO,PREFEITO,PARTIDO ISOLADO,PMDB,#NULO#,PMDB,2104651,3
0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2016,7650,11,,1,-4.25245,-43.010799,47.299999,.56400001,236.47,45889,MA,COELHO NETO,PREFEITO,COLIGACAO,PP,MUDA COELHO NETO,PP / PSL / PSC / PHS / PMN / PSDB / PEN / PSD / PTdoB,,3
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7650,11,,1,-4.25245,-43.010799,47.299999,.56400001,236.47,45889,MA,COELHO NETO,PREFEITO,COLIGACAO,PT,FRENTE OPOSICIONISTA DE COELHO NETO,PT / PSB / PCdoB / SD,,3
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2016,7650,11,,1,-4.25245,-43.010799,47.299999,.56400001,236.47,45889,MA,COELHO NETO,PREFEITO,COLIGACAO,PRB,POR AMOR A COELHO NETO I,PRB / PTB / PMDB / PR / PV / PROS / REDE,,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7668,11,,1,-2.1289899,-45.877701,51.799999,.56900001,230.94,24829,MA,GOVERNADOR NUNES FREIRE,PREFEITO,COLIGACAO,PSDB,A ESPERANÇA ESTÁ DE VOLTA,PSDB / PTC,,4
0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,2016,7668,11,,1,-2.1289899,-45.877701,51.799999,.56900001,230.94,24829,MA,GOVERNADOR NUNES FREIRE,PREFEITO,COLIGACAO,PR,O PROGRESSO CONTINUA,PR / REDE / PRP / PPS / PRTB / DEM / PP / PMN / PEN / PRB / PROS / PSL / PTN / PTdoB,,4
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7668,11,,1,-2.1289899,-45.877701,51.799999,.56900001,230.94,24829,MA,GOVERNADOR NUNES FREIRE,PREFEITO,COLIGACAO,PT,A ESPERANÇA DE RECOMEÇAR,PT / PDT / PMDB / PV,,4
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2016,7668,11,,1,-2.1289899,-45.877701,51.799999,.56900001,230.94,24829,MA,GOVERNADOR NUNES FREIRE,PREFEITO,COLIGACAO,PSB,UMA NOVA FORMA DE GOVERNAR,PSB / PCdoB / PHS / SD / PSD / PMB,,4
0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2016,7676,11,,1,-6.0319901,-44.254299,48.709999,.59600002,279.81,37622,MA,COLINAS,PREFEITO,COLIGACAO,PDT,UNIDOS POR COLINAS,PDT / PPS / PSDB / PSB / PR / PTB / PCdoB / PRB / PRP,,4
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2016,7676,11,,1,-6.0319901,-44.254299,48.709999,.59600002,279.81,37622,MA,COLINAS,PREFEITO,COLIGACAO,PSD,COLINAS NO RUMO CERTO,PSD / PT / PSL / PMDB / PV / PMN,,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,7676,11,70,0,-6.0319901,-44.254299,48.709999,.59600002,279.81,37622,MA,COLINAS,PREFEITO,PARTIDO ISOLADO,PTdoB,#NULO#,PTdoB,2103505,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7676,11,54,0,-6.0319901,-44.254299,48.709999,.59600002,279.81,37622,MA,COLINAS,PREFEITO,PARTIDO ISOLADO,PPL,#NULO#,PPL,2103505,4
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2016,7684,11,,1,-3.6577101,-45.211399,45.84,.56900001,216.25,12231,MA,IGARAPÉ DO MEIO,PREFEITO,COLIGACAO,PSDB,NOS SOMOS IGARAPE DO MEIO,PSDB / DEM / PRB / PV / PTB / PMB / PSB / PHS,,2
